,0,1
0,Aug-25-20 04:25PM,"UnitedHealth Group Inc. stock rises Tuesday, outperforms market MarketWatch"
1,Aug-24-20 04:25PM,UnitedHealth Group Inc. stock outperforms competitors despite losses on the day MarketWatch
2,Aug-21-20 06:22PM,Glenn Greenberg's Top 2nd-Quarter Trades GuruFocus.com
3,04:25PM,"UnitedHealth Group Inc. stock rises Friday, still underperforms market MarketWatch"
4,Aug-20-20 04:25PM,"UnitedHealth Group Inc. stock falls Thursday, underperforms market MarketWatch"
5,09:00AM,Morehouse School of Medicine and UnitedHealth Group Collaborate to Help Expand COVID-19 Research and Health Equity for Individuals with Sickle Cell Business Wire
6,Aug-19-20 04:25PM,UnitedHealth Group Inc. stock underperforms Wednesday when compared to competitors MarketWatch
7,10:07AM,BGL Announces the Simultaneous Recapitalizations of Grandview Surgery Center and North East Surgery Center PR Newswire
8,Aug-18-20 04:25PM,"UnitedHealth Group Inc. stock falls Tuesday, underperforms market MarketWatch"
9,03:25PM,"Chevron, JPMorgan Chase share losses contribute to Dow's nearly 75-point fall MarketWatch"
10,01:51PM,"Chevron, JPMorgan Chase share losses lead the way, but Dow flat MarketWatch"
11,10:46AM,5 Companies Reach 52-Week Highs GuruFocus.com
12,09:56AM,Healthcare stocks are where youll see continued growth: strategist Yahoo Finance Video
13,09:00AM,United Health Foundation Pledges $1.7 Million to Health Care Center for the Homeless to Expand Access to Primary Care in Florida Business Wire
14,Aug-17-20 04:25PM,UnitedHealth Group Inc. stock underperforms Monday when compared to competitors MarketWatch
15,03:51PM,Montgomery (County of) OH -- Moody's assigns Baa1 to Premier Health Partners' (OH) Ser. 2020; outlook negative Moody's
16,Aug-14-20 04:25PM,"UnitedHealth Group Inc. stock rises Friday, outperforms market MarketWatch"
17,11:30AM,UnitedHealth (UNH) Up 4.7% Since Last Earnings Report: Can It Continue? Zacks
18,Aug-13-20 04:25PM,"UnitedHealth Group Inc. stock falls Thursday, underperforms market MarketWatch"
19,02:30PM,Nasdaq Commands Gains; Why These Dow Stocks Are Near A Buy Point Investor's Business Daily
20,10:54AM,Morning Bell With Jim Cramer: Trading the Tesla Stock Split TheStreet.com
21,09:00AM,"United Health Foundation Donates $750,000 to Support Maternal Health Needs of Georgia Amid COVID-19 Pandemic Business Wire"
22,09:00AM,"United Health Foundation Donates $1,250,000 to ECU to Support Maternal Health Needs of North Carolina Amid COVID-19 Pandemic Business Wire"
23,Aug-12-20 04:25PM,"UnitedHealth Group Inc. stock rises Wednesday, outperforms market MarketWatch"
24,03:45PM,Dow Jones Rallies 308 Points; Why This Wall Street Expert Sees The S&P 500 At 3800 In 2021 Investor's Business Daily
25,10:56AM,"Dow up 289 points on gains for shares of Microsoft, Apple Inc. MarketWatch"
26,09:48AM,"Dow Jones Today, Stocks Climb After Moderna Vaccine Deal; AMD Leads Chip Bounce; Tesla Announces Stock Split Investor's Business Daily"
27,Aug-11-20 04:25PM,"UnitedHealth Group Inc. stock falls Tuesday, underperforms market MarketWatch"
28,04:25PM,Ken Fisher's Top 4 Buys in the 2nd Quarter GuruFocus.com
29,09:00AM,"Physicians Provide Higher Quality Care Under Set Monthly Payments Instead of Being Paid Per Service, UnitedHealth Group Study Shows Business Wire"
30,Aug-10-20 04:25PM,UnitedHealth Group Inc. stock outperforms market on strong trading day MarketWatch
31,11:01AM,"The Zacks Analyst Blog Highlights: Home Depot, Walmart, UnitedHealth, McDonald's and Johnson & Johnson Zacks"
32,08:12AM,Dow Jones Futures: Trump Extends Unemployment Benefits; Four Stock Market Rally Risks Investor's Business Daily
33,Aug-08-20 05:12PM,"Dow Jones Futures: Stock Market Rally Leadership Expands, But Here Are Four Risks To Watch Investor's Business Daily"
34,Aug-07-20 04:25PM,UnitedHealth Group Inc. stock outperforms market on strong trading day MarketWatch
35,12:24PM,5 Health Care Companies Outperforming the Market GuruFocus.com
36,Aug-06-20 04:25PM,"UnitedHealth Group Inc. stock rises Thursday, still underperforms market MarketWatch"
37,02:24PM,Return On Capital Employed Overview: UnitedHealth Group Benzinga
