,0,1
0,Aug-27-20 11:31AM,Why Is McDonald's (MCD) Up 8.9% Since Last Earnings Report? Zacks
1,11:07AM,Morning Bell With Jim Cramer: Salesforce Shares Surge TheStreet.com
2,08:00AM,"2 Restaurant Stocks That Turned $10,000 Into $1 Million Motley Fool"
3,07:59AM,Powell Speaks at Jackson Hole Today. Covid-19 Is All That Matters. Barrons.com
4,Aug-26-20 11:27AM,Internal McDonald's Investigation Deepens After CEO Firing: Report Benzinga
5,10:53AM,Spam-maker reveals stunning stat on employees wearing masks during COVID-19 Yahoo Finance
6,10:46AM,McDonalds misconduct investigation extends beyond ousted CEO Easterbrook MarketWatch
7,10:26AM,McDonald's launching Spicy Chicken McNuggets in the fall MarketWatch
8,10:14AM,Tesla and Apple have had a great run heres why theyre poised to rocket even higher in the next year MarketWatch
9,09:39AM,McDonald's Probing Additional Internal Cover-Ups by Former CEO TheStreet.com
10,03:58AM,PRESS DIGEST - Wall Street Journal - Aug. 26 Reuters
11,12:47AM,PRESS DIGEST- New York Times business news - Aug 26 Reuters
12,Aug-25-20 11:15PM,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of McDonald's Corporation - MCD PR Newswire
13,05:26PM,MEDIA-McDonald's looking into allegation ex-CEO covered up for others - Bloomberg News Reuters
14,02:56PM,McDonald's Unveils First Variation of McNuggets - Spicy Ones TheStreet.com
15,Aug-22-20 07:00AM,"A Top Pension Manager Sold GE, Starbucks, and McDonalds Stock. It Bought This Chip Stock. Barrons.com"
16,Aug-21-20 04:18PM,'A really tough spot' for employees: How companies are enforcing mask compliance Yahoo Finance
17,12:04PM,7 Safe Stocks to Buy That Can Shrug Off the Growing Volatility InvestorPlace
18,06:34AM,2 Dividend Aristocrats That Can Anchor Your Portfolio Even During the Coronavirus Pandemic Motley Fool
19,Aug-20-20 01:15PM,Why Domino's Pizza is going on a major hiring spree Yahoo Finance
20,Aug-19-20 01:50PM,INVESTOR ACTION NOTICE: The Schall Law Firm Announces it is Investigating Claims Against McDonald's Corporation and Encourages Investors with Losses to Contact the Firm ACCESSWIRE
21,12:57PM,How McDonalds Stock Is Handling the Coronavirus Motley Fool
22,12:24PM,Why Krispy Kreme is opening a colossal doughnut-making store in nearly empty Times Square Yahoo Finance
23,11:10AM,Better Buy: McDonald's vs. Starbucks Motley Fool
24,08:10AM,8 Cheap Restaurant Stocks That Are Worth the Risk Barrons.com
25,Aug-17-20 01:15PM,McDonald's ex-boss fights sexual liaison claims BBC
26,12:40PM,Moscow Exchange to offer trading in U.S. blue chips from Aug. 24 Reuters
27,11:49AM,Institutional Investor Says McDonald's Lawsuit Against Ex-CEO Shows Failure By Board Benzinga
28,10:10AM,"McDonald's Ex-CEO Hits Back at Company, Denying He Hid Affairs With Workers TheStreet.com"
29,07:42AM,"Domino's to hire 20,000 workers in United States Reuters"
30,Aug-15-20 08:00AM,Low-wage workers face retaliation for demanding COVID-19 safety measures at work LA Times
31,Aug-14-20 02:20PM,SHAREHOLDER ALERT: The Schall Law Firm Announces it is Investigating Claims Against McDonald's Corporation and Encourages Investors with Losses to Contact the Firm ACCESSWIRE
32,12:44PM,A Trio of Stocks Growing Earnings Fast GuruFocus.com
