,0,1
0,Sep-28-20 04:52PM,"Facebook Inc. Cl A stock rises Monday, still underperforms market MarketWatch"
1,04:21PM,Palantir eyes $22B market debut here's what the secretive big-data firm does Yahoo Finance
2,04:05PM,"Stock market news live updates: Stocks jump, Dow gains 411 points Yahoo Finance"
3,03:14PM,Philippines' Duterte calls out Facebook after accounts taken down Reuters
4,03:05PM,Philippines' Duterte calls out Facebook after accounts taken down Reuters
5,12:07PM,Mark Zuckerberg's 'Supreme Court' is up and running: Facebook exec Yahoo Finance
6,12:07PM,5 Social Media Stocks Poised For Post-Pandemic Success Benzinga
7,11:28AM,Facebook executive on how the social media platform is gearing up for the 2020 presidential election Yahoo Finance Video
8,09:29AM,Tech giants are ignoring questions over the legality of their EU-US data transfers TechCrunch
9,06:57AM,"The Zacks Analyst Blog Highlights: Amazon, Google, Microsoft, Facebook and Tencent Zacks"
10,Sep-27-20 10:00AM,"We are entering a golden age for borderless, global teams Quartz"
11,07:48AM,These 2 Robinhood Stocks Are Down Around 15% This Month: Should You Buy the Dip? Motley Fool
12,05:51AM,4 Stocks to Buy if the Stock Market Tech Wreck Continues Motley Fool
13,02:01AM,6 Alternatives for Investors Searching How to Buy the Ant Group IPO InvestorPlace
14,Sep-26-20 05:32PM,"What to Know About Judge Amy Coney Barrett, Trumps Supreme Court Nominee Barrons.com"
15,05:27PM,A Right-Leaning Court Will Tackle Some Big Business Cases. The Outcomes Arent Obvious. Barrons.com
16,01:00PM,Facebook Wants to Be Your Default iPhone Messaging Service Motley Fool
17,11:08AM,These Are The 5 Best Stocks To Buy And Watch Now Investor's Business Daily
18,09:47AM,3 Stocks to Buy and Hold for Decades Motley Fool
19,08:32AM,Opinion: Why Mr. Market doesnt care if democracy is collapsing Yahoo Finance
20,06:30AM,"We Ask Successful Investors: If You Could Only Own 3 Stocks, What Would They Be? Motley Fool"
21,Sep-25-20 08:39PM,"As Zoom and Videoconferencing Boom, TVs Are Getting Left Behind Barrons.com"
22,05:56PM,Google Policy Limits Ads for Election as It Does for Disasters Bloomberg
23,05:33PM,"Apple Gives In, Allows Facebook Pay for Paid Online Events WWD"
24,05:14PM,"Apple Decides to Waive 30% Cut of Paid Events on Facebook, but Only for 3 Months Motley Fool"
25,04:25PM,"Alphabet Inc. Cl A stock rises Friday, still underperforms market MarketWatch"
26,04:09PM,"Market Recap: Friday, September 25 Yahoo Finance Video"
27,04:08PM,"Facebook Stock Looks Poised to Rally Back to $300, Says 5-Star Analyst TipRanks"
28,04:06PM,Apple Temporarily Stops Taking 30% Cut of Facebook Paid Events TheStreet.com
29,03:33PM,Tech Companies Wager Billions On Race To Win Over These Consumers Investor's Business Daily
30,02:14PM,Republican AG Slams Democrats Who Would Shun DOJs Google Suit Bloomberg
31,01:50PM,Ex-Facebook and Pinterest exec explains how tech addiction made him rethink his life's work Yahoo Finance
32,01:24PM,Antitrust investigations into Google & Facebook heat up Yahoo Finance Video
33,12:08PM,Facebook events service gets temporary exemption from Apple App Store fees: blog post Reuters
34,12:00PM,"Apple Temporarily Waives 30% Fee for Facebook Paid Live Events, but Not for Gaming Creators Variety"
35,12:00PM,Apple to Let Facebook Online Events Temporarily Avoid 30% Cut Bloomberg
36,12:00PM,Apple is (temporarily) waiving its App Store fee for Facebook's online events TechCrunch
37,12:00PM,Facebook events service gets temporary exemption from Apple App Store fees -blog post Reuters
38,10:45AM,Trump administration asks the U.S. court to allow WeChat ban to move forward Yahoo Finance Video
39,09:15AM,Better Buy: Facebook vs. Twitter Motley Fool
40,08:25AM,"Social media deal earns advertisers' 'likes', but not yet all their dollars Reuters"
41,08:19AM,"Social media deal earns advertisers' 'likes', but not yet all their dollars Reuters"
42,07:37AM,Facebook critics launch rival oversight board Reuters
43,07:30AM,Facebook critics launch rival oversight board Reuters
44,Sep-24-20 11:29PM,"Google, Facebook CEOs Could Face Subpoena From Senate Panel Bloomberg"
45,04:25PM,"Alphabet Inc. Cl A stock rises Thursday, outperforms market MarketWatch"
46,03:10PM,The rotation to more value and cyclical sectors has already begun: Wealth Consulting Group CEO Yahoo Finance Video
47,03:06PM,"Facebook suspends fake Russian accounts, warns of U.S. election hack-and-leak threat Reuters"
48,03:04PM,"Facebook suspends fake Russian accounts, warns of U.S. election hack-and-leak threat Reuters"
49,03:00PM,"Facebook suspends fake Russian accounts, warns of US election hack-and-leak threat Reuters"
50,02:43PM,"Alphabet, Facebook, Twitter CEOs Asked to Appear at Senate Hearing TheStreet.com"
51,01:49PM,"Senate panel wants CEOs of Facebook, Google, Twitter to testify Oct. 1: report MarketWatch"
52,12:55PM,Facebook Oversight Board set to launch ahead of U.S. election Yahoo Finance Video
53,12:53PM,"Facebook (FB) Has Risen 38% in Last One Year, Outperforms Market Insider Monkey"
54,12:43PM,Facebook's Oversight Board Will Start Reviewing Content Soon TheStreet.com
55,12:12PM,"Senate panel plans to issue subpoenas to CEOs of Google, Facebook, Twitter Reuters"
56,11:39AM,What a Biden presidency would mean for tech stocks Yahoo Finance
57,11:30AM,"Instagram bug made users vulnerable to hackers, according to this report Yahoo Finance Video"
58,10:57AM,Facebook is a whole different animal and may not be able to exist in its current form under a new regime: expert Yahoo Finance Video
59,10:00AM,"Tech Veterans Try to Build a Kinder, More Thoughtful Facebook Bloomberg"
60,06:01AM,"Instagram bug made users vulnerable to hackers, cybersecurity firm claims Yahoo Finance"
61,06:00AM,Influencers with Andy Serwer: Jessica Alba Yahoo Finance Video
62,05:14AM,Facebook's Oversight Board plans to launch just before U.S. election Reuters
63,Sep-23-20 11:59PM,Winklevoss Twins Crypto Exchange Is Expanding Into the U.K. Bloomberg
64,11:41PM,Facebook gives more details about its efforts against hate speech before Myanmar's general election TechCrunch
65,08:33PM,Trump Says Kentucky Attorney General Is Handling Breonna Taylor Situation Very Well Barrons.com
66,04:25PM,"Alphabet Inc. Cl A stock falls Wednesday, underperforms market MarketWatch"
67,04:00PM,Singapore Blue-Chip Veteran to Raise Funds for New Venture Firm Bloomberg
68,12:00PM,The Oculus Quest's unofficial app store gets backing from Oculus founder Palmer Luckey TechCrunch
69,11:45AM,Facebook Tool Faulted for Lapses in Finding Voter Misinformation Bloomberg
70,10:00AM,Facebook Threatens to Shoot Itself in the Foot Motley Fool
71,09:00AM,Aboard a Winnebago in Search of Better Angels Bloomberg
72,09:00AM,"Thailand to start legal action vs Facebook, Google, Twitter over content Reuters"
73,07:24AM,Facebook denies it will pull service in Europe over data transfer ban TechCrunch
74,06:24AM,Advertisers agree deal with social media on steps to curb harmful content Reuters
75,06:09AM,Advertisers reach deal with social media on steps to curb harmful content Reuters
76,05:14AM,"Facebook, Twitter, YouTube Make Peace With Advertisers Over Harmful Content: FT Benzinga"
77,01:09AM,Facebook Removes Chinese Propaganda Network Trying To Influence US Presidential Election Benzinga
78,Sep-22-20 10:29PM,Blacklisting U.S. Tech Would Highlight Chinas Own Weakness Bloomberg
79,10:18PM,"BlackRock, Sands Capital Lead $300-Million Investment in Byjus Bloomberg"
80,08:20PM,A $50 Phone is Ambani's Weapon to Dominate India Telecom Market Bloomberg
81,07:59PM,Facebook Removes Fake Accounts Spreading Chinese Propaganda Bloomberg
82,06:25PM,U.S. Agencies Warn of Disinformation on Delayed Election Results Bloomberg
83,06:03PM,Social networks are doing a voter registration blitz this week TechCrunch
84,04:27PM,Chinese propaganda network on Facebook used AI-generated faces TechCrunch
85,04:25PM,"Alphabet Inc. Cl A stock rises Tuesday, outperforms market MarketWatch"
86,03:25PM,"Mnuchin, Powell promise action to aid economic recovery Yahoo Finance Video"
87,03:12PM,'Halftime Report' Traders Share Their Thoughts On Amazon And Facebook Benzinga
88,03:10PM,Facebook May Restrict Content On Election Day: Report TheStreet.com
89,03:05PM,Top 20 Richest People In The World Insider Monkey
90,03:01PM,Facebook removes Chinese accounts active in Philippines and U.S. politics Reuters
91,02:38PM,Facebook Analyst Expects 'Pragmatic' Solution To EU Data Transfer Challenges Benzinga
92,01:36PM,Facebook says it will restrict content to stop violence around Election Day: Financial Times Yahoo Finance Video
93,12:29PM,Apple Stock Might Be the Only Thing Standing Between the Market and Another Selloff Barrons.com
94,11:28AM,Event discovery network IRL raises $16M Series B after refocusing on virtual events TechCrunch
95,10:30AM,Netflix May Discover Treasure in Quibi Wreckage Bloomberg
96,10:21AM,Facebook to 'restrict the circulation of content' if election chaos occurs: RPT Yahoo Finance Video
97,09:00AM,"Morgan Beller, co-creator of the Libra digital currency, just joined the venture firm NFX TechCrunch"
