,0,1
0,Sep-28-20 05:59PM,Best Growth Stocks for October 2020 Investopedia
1,Sep-27-20 10:28AM,Better Buy: Shopify vs. Amazon Motley Fool
2,08:07AM,3 High-Growth Tech Stocks That Are Worth Paying Up For Motley Fool
3,Sep-25-20 05:40PM,Stay-at-Home Stocks Send Markets Soaring Friday Motley Fool +5.76%
4,05:39PM,"Appian, Okta, and Shopify Stocks All Popped on Friday Motley Fool"
5,07:15AM,"Got $3,000? Here Are 3 Surefire High-Growth Stocks That Are Just Getting Started Motley Fool"
6,Sep-24-20 05:45PM,Shopify (SHOP) Stock Sinks As Market Gains: What You Should Know Zacks
7,11:46AM,Record Canada Tech IPO Rewards CEO Who Shunned a Sale to Rival Bloomberg
8,07:45AM,Is Shopify Still a Buy After Reaching an $111 Billion Market Cap? Motley Fool
9,Sep-23-20 06:42PM,Shopify says it notified privacy commissioner of breach involving 'rogue' staff CoinDesk
10,06:09PM,Daily Crunch: Shopify confirms data breach TechCrunch
11,05:59PM,Shopify Working With Feds to Investigate Security Breach WWD
12,04:19PM,Shopify says two support staff stole customer data from sellers TechCrunch
13,09:38AM,Shopify Reveals Shopper Data Compromised Motley Fool
14,09:07AM,Shopify Says 'Rogue' Employees Breached Merchant Data TheStreet.com
15,03:27AM,Shopify announces data breach after two employees stole customer data MarketWatch
16,Sep-22-20 07:42PM,Shopify says customer data likely exposed as employees accessed records Reuters
17,05:22PM,"Amazon best-positioned aggregator in fragmented e-commerce market, says analyst Yahoo Finance Video"
18,11:20AM,How I'd Play Shopify Right Now TheStreet.com
19,09:36AM,Shopify Announces Closing of Underwriters Over-Allotment Option in Connection with Offering of Class A Subordinate Voting Shares Business Wire
20,Sep-21-20 03:49PM,Goldman boosts Shopify price target to $1318 Yahoo Finance Video
21,02:43PM,Walmart and TikTok Have Nothing In Common. Thats Great News for Walmart Stock. Barrons.com
22,10:16AM,Shopify Stock Has More Than Doubled in 2020. Why Goldman Sachs Sees Even More Gains. Barrons.com
23,05:51AM,"The Best Stocks to Invest $1,000 In When the Market Is Falling Motley Fool"
24,Sep-20-20 07:15AM,3 Software Stocks Share This 1 Key to Success Motley Fool
25,Sep-18-20 02:20PM,Is Shopify Stock A Buy As Online Spending Soars During Pandemic? Investor's Business Daily
26,11:06AM,"Shopify Completes Offerings of Class A Subordinate Voting Shares and Convertible Senior Notes, Including Full Exercise of Over-Allotment Option for Convertible Senior Notes Business Wire"
27,08:30AM,1 E-Commerce Stock to Buy and 1 to Sell After Q2 2020 Earnings Motley Fool
28,07:00AM,Coronavirus Speeds Shift To Digital Payments To Keep Shoppers Safe Investor's Business Daily
29,Sep-17-20 05:45PM,Shopify (SHOP) Dips More Than Broader Markets: What You Should Know Zacks
30,01:20PM,Why Shopify Stock Dropped Another 4% Today Motley Fool
31,08:29AM,3 Recent IPOs to Add to Your Watchlist Motley Fool
32,07:15AM,Is BigCommerce Stock a Better Buy Than Shopify? Motley Fool
33,Sep-15-20 11:32PM,Shopify Prices Offerings of Class A Subordinate Voting Shares and Convertible Senior Notes Business Wire
34,12:37PM,PreMarket Prep Stock Of The Day: Shopify Benzinga
35,07:20AM,Shopify Launches Offerings of Class A Subordinate Voting Shares and Convertible Senior Notes Business Wire
36,Sep-14-20 10:05AM,Unusual Options Activity Insight: Shopify Benzinga
37,Sep-13-20 06:08AM,3 Best Coronavirus Stocks to Watch in September Motley Fool
38,06:06AM,3 Growth Stocks for In-the-Know Investors Motley Fool
39,Sep-12-20 11:52AM,Dow Jones Futures: Stock Market Rally Livin' On The Edge; Take These Three Steps Now Investor's Business Daily
40,Sep-11-20 02:39PM,"The Zacks Analyst Blog Highlights: ETSY, JD, SHOP and W Zacks"
41,02:12PM,"Pinterest Growth Is in E-Commerce, Not Social Media InvestorPlace"
42,12:00PM,"Why BigCommerce Won't Be the ""Next Shopify"" Motley Fool"
43,07:15AM,3 Growth Stocks I'd Buy Right Now Motley Fool
44,06:40AM,Here Are 3 Key Reasons Amazon Stock Is Set to Decline InvestorPlace
45,Sep-10-20 05:45PM,Shopify (SHOP) Stock Moves -1.59%: What You Should Know Zacks
46,04:27PM,4 Large-Cap Growth Leaders for the Long Term Zacks
47,03:24PM,Why Shopify Rival BigCommerce Is Tumbling After an Earnings Beat TheStreet.com
48,06:30AM,5 Things You Didn't Know About Shopify Motley Fool
49,Sep-09-20 01:33PM,Why Shopify Stock Is Rising Today Motley Fool
50,10:08AM,"Slack misses expectations on quarterly billings, stock plummets Yahoo Finance"
51,09:30AM,Investing in Your 20s: 3 Stocks to Watch Motley Fool
52,09:15AM,Is Shopify Stock a Buy? Motley Fool
53,06:55AM,3 Top Stocks to Buy If the Market Woes Drag On Motley Fool
54,06:11AM,3 Stay-at-Home Tech Stocks to Buy Right Now Motley Fool
55,Sep-08-20 01:18PM,"Why Shopify, MercadoLibre, and Sea Limited Stocks Sank Today Motley Fool -5.72%"
56,11:51AM,How This E-Commerce Platform Quietly Powers a $9 Trillion Market Motley Fool
57,Sep-06-20 08:00AM,These 3 Tech Stocks Are Huge Winners of the Coronavirus Pandemic Motley Fool
58,Sep-04-20 06:10PM,"Why Shopify, Square, and PayPal Stocks Plunged Today Motley Fool"
59,07:00AM,Top Mutual Fund Manager Likens Amazon To The 'Evil Empire' Investor's Business Daily
60,05:09AM,"The Zacks Analyst Blog Highlights: Target, JD.com, Best Buy, Shopify and Kroger Zacks"
61,04:47AM,Shopify vs Etsy: Which E-Commerce Stock Is The Street Clicking On Now? SmarterAnalyst
62,Sep-03-20 04:30PM,"Why Zoom, Wix, and Shopify Shares Plunged Today Motley Fool -5.48%"
63,12:19PM,"Trading cards, especially sports, see a spike during the coronavirus pandemic Yahoo Finance Video"
64,09:35AM,'Fast Money' Traders Advise Viewer On Shopify And Lululemon Benzinga
65,09:16AM,E-Commerce Driving Retail Sales: 5 Solid Stocks to Buy Zacks
66,07:50AM,PREMIUM: Trading volatile markets during prime time 'crash season' webinar with Joe Fahmy Yahoo Finance Video
67,Sep-02-20 04:45PM,Here's Why Shopify Stock Declined Today Motley Fool -5.27%
68,04:15PM,Shopify Hires Former Yeezy Exec Jon Wexler WWD
69,02:12PM,"After Departing Adidas, Jon Wexler Lands at Shopify Footwear News"
70,10:50AM,What Is Afterpay and Why Does Shopify Want Its Business? Motley Fool
71,07:07AM,5 Top Stocks for September Motley Fool
72,06:00AM,"Sadly, One Letter Perfectly Captures the Recovery Bloomberg"
73,Sep-01-20 07:31PM,Why Shopify Stock Climbed to a New All-Time High Today Motley Fool +6.37%
74,04:45PM,"September Brings New Stock Market Records; Will Chipotle, Shopify Be the Next Stock Splitters? Motley Fool"
75,03:59PM,Where and How to Power Up Profits in Plug Power Stock InvestorPlace
76,11:30AM,Has Shopify (SHOP) Outpaced Other Computer and Technology Stocks This Year? Zacks
77,08:15AM,5 Stocks That Should Split in September Motley Fool
78,06:00AM,Money Managers Are Punished by a Runaway S&P 500 Bloomberg
79,Aug-31-20 03:10PM,BigCommerce Stock Sags as Wall Street Takes a Cautious View. Morgan Stanley Says Sell. Barrons.com
80,01:23PM,Hedge Funds Have Never Been This Bullish On Shopify Inc (SHOP) Insider Monkey
81,Aug-30-20 11:30AM,Why Is Pinterest (PINS) Up 40.3% Since Last Earnings Report? Zacks
82,Aug-29-20 11:19PM,The Anti-Amazon Alliance Amazon Has Finally Met Its Match Insider Monkey
83,08:33AM,3 Software-as-a-Service Stocks That Could Triple Your Money Motley Fool
84,07:55AM,3 Stocks That Could Set You Up for Life Motley Fool
85,Aug-28-20 07:46PM,Get Ready for a Crazy Wave of IPOs. Here Are the Ones to Watch. Barrons.com
86,05:39PM,Why tech stocks moving higher after announcing stock splits may be a 'red herring' Yahoo Finance Video
87,03:02PM,Fastly Takes a Break From Its Impressive Run InvestorPlace
88,12:25PM,Why You Shouldnt Buy the Dip in Fastly Shares InvestorPlace
89,11:31AM,Shopify (SHOP) Up 0.4% Since Last Earnings Report: Can It Continue? Zacks
90,07:16AM,"As a TikTok Deal Nears, Innovative Fastly Stock Is Still Looking Good InvestorPlace"
91,06:30AM,[video]Some Recent Stock Moves Feel Very Bubble-Like TheStreet.com
92,05:46AM,"Shopify, Coupa Boost Tech-focused Funds Rated Tops in Morningstar Survey InvestorPlace"
93,Aug-27-20 05:56PM,TikTok Could Help Walmart Stock. Heres How. Barrons.com
94,08:45AM,Is the 'Shopify of China' Losing Its Momentum? Motley Fool
95,07:58AM,Higher Technical Price Targets Seen for Soaring Shopify TheStreet.com
96,06:45AM,E-commerce Salvaging Retailers Amid Pandemic: 4 Winners Zacks
97,Aug-26-20 07:13PM,Why Facebook Stock Surged to a New All-Time High Today Motley Fool +5.03%
98,04:54PM,"Dow Jones Futures: Salesforce, Facebook, Netflix, Tesla, Adobe Fuel Stock Market Rally, But Risks Rising; Fed Chief Powell Speech Key; Splunk, Elastic Earnings Movers; Xpeng IPO Set To Price Investor's Business Daily"
99,04:28PM,Why Shopify Stock Rose to a New All-Time High Today Motley Fool
