,0,1
0,Oct-09-20 06:25PM,YouTubes Now Testing Shopping Features WWD
1,04:25PM,"Alphabet Inc. Cl A stock rises Friday, outperforms market MarketWatch"
2,03:21PM,Stocks extend gains with stimulus prospects in focus Yahoo Finance Video
3,02:25PM,"Microsoft Is Bringing Xbox Game Pass to iOS, but With a Catch Motley Fool"
4,01:59PM,Factbox: Big Tech's market dominance spurs numerous U.S. antitrust probes Reuters
5,01:11PM,Google Plans to Make YouTube a Major Shopping Destination Bloomberg
6,12:30PM,Netflix Is Beating YouTube in This Key Demographic Motley Fool
7,11:56AM,Apple Prepares to Launch 5G iPhones Into Unready U.S. Market Bloomberg
8,11:11AM,"Most popular brands during COVID-19, according to MBLM brand intimacy report Yahoo Finance Video"
9,10:00AM,Microsoft Takes Shots at Apple in New App Store Principles Motley Fool
10,09:57AM,Why I'm Buying More Anaplan Stock Motley Fool
11,09:48AM,Dow Gains as White House Reportedly Ready to Raise Stimulus Offer Investing.com
12,06:30AM,Should Tech Investors Worry About Antitrust? Motley Fool
13,05:25AM,Carmakers compete to keep you entertained BBC
14,05:00AM,American-Made Disinformation Strains Social Medias Safeguards Bloomberg
15,04:37AM,AMD Is Said in Talks to Buy Rival Xilinx in $30 Billion Deal Bloomberg
16,Oct-08-20 10:59PM,Google Sister Waymo Rolls Out Self-Driving Taxi Service To The Public Benzinga
17,05:18PM,Alphabet Inc. -- Moody's announces completion of a periodic review of ratings of Alphabet Inc. Moody's
18,04:25PM,"Alphabet Inc. Cl A stock rises Thursday, outperforms market MarketWatch"
19,02:52PM,Google Readies Cheaper Nest Thermostat With Hand Gesture Control Bloomberg
20,12:44PM,Arista Stock Is Spiking Because J.P. Morgan Sees a Cloud-Demand Rebound Barrons.com
21,12:31PM,Waymo starts to open driverless ride-hailing service to the public TechCrunch
22,12:12PM,Waymo opens driverless robo-taxi service to the public in Phoenix Reuters
23,12:07PM,Morning Bell With Jim Cramer: Buy Alphabet if This Happens TheStreet.com
24,12:00PM,CORRECTED-Waymo opens driverless robo-taxi service to the public in Phoenix Reuters
25,11:55AM,IBM CEO: Why we just made this 'landmark' business move Yahoo Finance
26,11:05AM,"Slack CEO on Frontiers conference, innovations for the platform, Microsoft competition Yahoo Finance Video"
27,11:05AM,Dow Trims Some Gains as Pelosi Rejects Piecemeal Stimulus Investing.com
28,10:06AM,Tesla Stock Is the Next Amazon.com Barrons.com
29,10:00AM,Apple Pushes Back on House Antitrust Findings Motley Fool
30,09:19AM,Facebook a net bad for society: Kurt Andersen Yahoo Finance
31,09:00AM,Influencers with Andy Serwer: Kurt Andersen Yahoo Finance Video
32,07:45AM,MessageBirds $200 Million Fundraise Likely Last Before an IPO Bloomberg
33,07:30AM,"[video]5 Thoughts on the House's Antitrust Report on Google, Facebook, Apple and Amazon TheStreet.com"
34,07:08AM,Paytm targets a million apps on its mini app store to take on Google Reuters
35,07:06AM,3 Top Cloud Computing Stocks to Buy Right Now Motley Fool
36,07:00AM,Think Big Tech is Getting Broken Up? Buy Alphabet Stock Motley Fool
