,0,1
0,Oct-07-20 08:30AM,The Peck Company Holdings Expands into Rhode Island with $7.256 Million EPC Contract for a 5.3MW Solar Project Business Wire
1,08:00AM,"Sunworks Announces $10 Million in Q3 Project Wins, Representing an Acceleration in Activity and Improving Market Conditions GlobeNewswire"
2,Oct-06-20 06:57PM,SAP's Emarsys Buyout to Improve Customer Experience Portfolio Zacks
3,09:00AM,"SAP® SuccessFactors® Employee Central Tops 4,000 Customers PR Newswire"
4,08:00AM,"SAP Launches 5 & 5 by '25 Initiative, Rallying Businesses to Spend More with Social Enterprises and Diverse Suppliers CNW Group"
5,04:00AM,SAP Launches New Mobile App for Global Sailing Community to Create Races and Access Live Tracking Data PR Newswire
6,Oct-05-20 11:00PM,"SAP Launches 5 & 5 by '25 Initiative, Rallying Businesses to Spend More with Social Enterprises and Diverse Suppliers PR Newswire"
7,06:00PM,TAFE NSW Targets A$33 Million in Savings with SAP® Ariba® Solutions PR Newswire
8,Oct-01-20 10:18AM,SAP continues to build out customer experience business with Emarsys acquisition TechCrunch
9,09:00AM,SAP to Acquire Omnichannel Customer Engagement Leader Emarsys PR Newswire
10,Sep-30-20 09:30AM,J.P. Morgan Asset Management Partners with SAP to Enhance Morgan Money Liquidity Platform PR Newswire
11,08:30AM,The Peck Company Holdings Awarded $2.365 Million Contract for a 6.8MW Project in Maine Business Wire
12,Sep-24-20 03:32PM,Palantir Technologies IPO: The Investors Comprehensive Guide InvestorPlace
13,09:00AM,Terumo North America Brings Intelligent Enterprise to Life During Worldwide Pandemic PR Newswire
14,Sep-18-20 12:01PM,5 Tech Companies Beating the S&P 500 GuruFocus.com
15,11:57AM,Snowflake CEO: 'I am the biggest bull on this country in every way' Yahoo Finance
16,Sep-04-20 12:03PM,SAP Investor Presentation PR Newswire
17,07:06AM,"SAP Stock is Flying High, But That May Not Last InvestorPlace"
18,03:07AM,Curevac COVID-19 vaccine scale production seen this year -investor Reuters
19,Sep-03-20 05:45AM,SAP Supervisory Board Appoints Sabine Bendiek as New Executive Board Member to Lead Human Resources and Operations PR Newswire
20,Sep-01-20 11:30AM,Has SAP SE (SAP) Outpaced Other Computer and Technology Stocks This Year? Zacks
21,09:00AM,"With SAP® Ariba® Solutions, ERG Digitalizes Procurement and Upholds Commitment to Sustainability PR Newswire"
22,Aug-18-20 04:10PM,"Lifshitz Law Firm, P.C. Announces Investigation of GCI Liberty, Inc. (NASDAQ: GLIBA), National General Holdings Corp. (NGHC), Pfenex Inc. (NYSE: PFNX), and Sunworks, Inc. (NASDAQ: SUNW) GlobeNewswire"
23,Aug-14-20 08:04PM,"SUNWORKS INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Sunworks, Inc. - SUNW Business Wire"
24,03:37PM,"Lifshitz Law Firm, P.C. Announces Investigation of GCI Liberty, Inc. (NASDAQ: GLIBA), MVC Capital, Inc. (NYSE:MVC), Pfenex Inc. (NYSE: PFNX), and Sunworks, Inc. (NASDAQ: SUNW) GlobeNewswire"
25,Aug-11-20 09:30PM,"SUNWORKS, INC. SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Announces Investigation of Merger GlobeNewswire"
26,08:53PM,"SHAREHOLDER ALERT: WeissLaw LLP Investigates Sunworks, Inc. PR Newswire"
27,06:48PM,"SHAREHOLDER NOTICE: Brodsky & Smith, LLC Announces an Investigation of Sunworks, Inc. (Nasdaq - SUNW) ACCESSWIRE"
28,05:13PM,How Salesforce's New Product Could Affect An IPO On The Horizon Benzinga
29,Aug-10-20 04:03PM,"The Peck Company Holdings to Acquire Sunworks via Share Exchange, Creating an Industry Leading Solar EPC with National Presence Business Wire"
30,04:02PM,The Peck Company Holdings Reports Second Quarter 2020 Results Business Wire
31,Aug-07-20 07:59PM,The CEO who made one of Silicon Valleys worst acquisitions wants a $400 million blank check MarketWatch
32,12:33PM,10 Biggest Software Companies Investopedia
33,Aug-06-20 12:00PM,Global Organizations Continue to Select SAP® SuccessFactors® Solutions to Modernize Human Resources PR Newswire
34,Aug-04-20 08:00AM,"SAP® Invests In Vistex, Companies Deepen Strategic Relationship PR Newswire"
35,Aug-01-20 02:00PM,Startups Weekly: Qualtrics IPO to be even more exciting this time around TechCrunch
36,Jul-31-20 08:31AM,"SAP, Deutsche Telekom to build corona app gateway for European Commission Reuters"
37,01:59AM,"SAP, Deutsche Telekom close to European coronavirus app deal - Wiwo Reuters"
38,Jul-30-20 03:36PM,"SAP Taps Morgan Stanley, JPMorgan for Qualtrics IPO Bloomberg"
39,Jul-28-20 02:46PM,SAP decision to spin out Qualtrics 20 months after spending $8B surprises industry watchers TechCrunch
40,04:00AM,SAP and E.ON to Build New Process and Technology Platform PR Newswire
41,Jul-27-20 03:30PM,SAP SE O.N. (SAP) Q2 2020 Earnings Call Transcript Motley Fool
42,01:03PM,SAP To Take Qualtrics Public Via U.S. IPO Yahoo Finance Video
43,01:00PM,Equity Shot: All about the Qualtrics IPO TechCrunch
44,12:39PM,SAP Is Planning an IPO for Its Cloud-Software Qualtrics Unit Barrons.com
45,11:02AM,"SAP Q2 Earnings Top Estimates, Stock Up on Qualtrics Spin-Off Zacks"
46,10:51AM,"Earnings in Focus: Hasbro, SAP and Albertsons Yahoo Finance Video"
47,10:24AM,Price Over Earnings Overview: SAP Benzinga
48,09:54AM,"Equity Monday: SAP, Qualtrics and oh boy are we excited TechCrunch"
49,09:20AM,German Software Giant SAP Announces IPO for U.S. Arm Qualtrics. Shares Are Climbing. Barrons.com
50,09:02AM,An $8 Billion U-Turn Works for Europes Top Tech Firm Bloomberg
51,08:58AM,SAP puts M&A back on agenda after Qualtrics spinoff Reuters
52,08:55AM,"Billionaire investor Ray Dalio fears for the dollar and the soundness of our money, and heres why MarketWatch"
53,01:02AM,SAP Resilient Amid COVID-19 Crisis; Sharp Increase in Operating and Free Cash Flow PR Newswire
54,Jul-26-20 05:40PM,SAP Announces Intent to Take Qualtrics Public PR Newswire
55,Jul-24-20 04:15PM,"GLOBAL MARKETS-Shares retreat globally on U.S.-China tensions, gold soars Reuters"
56,11:08AM,"REFILE-GLOBAL MARKETS-Shares retreat globally on U.S.-China tensions, gold soars Reuters"
57,Jul-23-20 04:15PM,The Peck Company Holdings Recognized as a Top Solar Contractor for 2020 Business Wire
58,03:36PM,Is the Earnings Improvement for Real? Zacks
59,Jul-22-20 11:53AM,Software maker Jamf Holding's shares jump 77% in stock market debut Reuters
60,Jul-21-20 07:59PM,Software maker Jamf Holding raises $468 mln in U.S. IPO Reuters
61,03:03AM,Eurozone shares hit March highs on EU deal optimism Reuters
62,01:08AM,TikToks Former Chief to Oversee Investment at ByteDance Bloomberg
63,Jul-20-20 12:14PM,Why SAP SE (SAP) Stock is a Compelling Investment Case Insider Monkey
64,Jul-15-20 09:00AM,SAP® Training and Adoption Enhances Digital Learning to Foster People and Business Success PR Newswire
65,Jul-14-20 10:00AM,SAP Offers New SAP® Fieldglass® External Talent Marketplace at No Charge to Help Businesses Fill Temporary Jobs PR Newswire
66,Jul-09-20 10:32AM,P/E Ratio Insights for SAP Benzinga
67,10:01AM,"SAP Announces Encouraging Q2 Preliminary Results, Shares Up Zacks"
68,03:16AM,SAP Revenue Begins to Recover from Pandemic-Fueled Slowdown Bloomberg
69,03:03AM,European shares rise after SAP's reassuring outlook Reuters
70,Jul-08-20 05:47PM,SAP says business recovered more than expected in Q2 Reuters
71,05:10PM,SAP says business conditions are improving; reaffirms previous 2020 guidance MarketWatch
72,04:53PM,SAP Pre-Announces Strong Second Quarter Results Amid COVID-19 Crisis PR Newswire
73,Jul-07-20 02:21AM,"Google, Deutsche Bank Agree to 10-Year Cloud Partnership Bloomberg"
74,Jul-06-20 05:25AM,Joe Rogan Can't Fix Spotify's Biggest Flaw Bloomberg
75,02:00AM,Make a vaccine? I'm trying to teach my kids the alphabet Reuters
76,Jul-02-20 11:18AM,The Facebook ad boycott could pay off for companies more than advertising on Facebook MarketWatch
77,Jun-30-20 11:58PM,Is SAP SE (SAP) A Good Stock To Buy? Insider Monkey
78,05:56PM,MS Global Franchise Fund's 1st-Quarter Portfolio GuruFocus.com
79,12:23PM,Here are tech companies plans for increasing diversity amid protests over racial inequality MarketWatch
80,Jun-29-20 11:19AM,SAP SE -- Moody's announces completion of a periodic review of ratings of SAP SE Moody's
81,Jun-25-20 04:07PM,IGT Holding III AB -- Moody's announces completion of a periodic review of ratings of IGT Holding III AB Moody's
82,12:24PM,"After years of talk, tech companies appear to be getting serious about diversity efforts MarketWatch"
83,08:30AM,The Peck Company Holdings Provides Additional COVID-19 Update Stating its Back to 100% Working Capacity and No Contract Cancellations Business Wire
