Company,timestamp,headline
SAP,2020-08-18 04:10:00,"Lifshitz Law Firm, P.C. Announces Investigation of GCI Liberty, Inc. (NASDAQ: GLIBA), National General Holdings Corp. (NGHC), Pfenex Inc. (NYSE: PFNX), and Sunworks, Inc. (NASDAQ: SUNW) GlobeNewswire"
SAP,2020-08-14 08:04:00,"SUNWORKS INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Sunworks, Inc. - SUNW Business Wire"
SAP,2020-08-14 03:37:00,"Lifshitz Law Firm, P.C. Announces Investigation of GCI Liberty, Inc. (NASDAQ: GLIBA), MVC Capital, Inc. (NYSE:MVC), Pfenex Inc. (NYSE: PFNX), and Sunworks, Inc. (NASDAQ: SUNW) GlobeNewswire"
SAP,2020-08-11 09:30:00,"SUNWORKS, INC. SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Announces Investigation of Merger GlobeNewswire"
SAP,2020-08-11 08:53:00,"SHAREHOLDER ALERT: WeissLaw LLP Investigates Sunworks, Inc. PR Newswire"
SAP,2020-08-11 06:48:00,"SHAREHOLDER NOTICE: Brodsky & Smith, LLC Announces an Investigation of Sunworks, Inc. (Nasdaq - SUNW) ACCESSWIRE"
SAP,2020-08-11 05:13:00,How Salesforce's New Product Could Affect An IPO On The Horizon Benzinga
SAP,2020-08-10 04:03:00,"The Peck Company Holdings to Acquire Sunworks via Share Exchange, Creating an Industry Leading Solar EPC with National Presence Business Wire"
SAP,2020-08-10 04:02:00,The Peck Company Holdings Reports Second Quarter 2020 Results Business Wire
SAP,2020-08-07 07:59:00,The CEO who made one of Silicon Valleys worst acquisitions wants a $400 million blank check MarketWatch
SAP,2020-08-07 12:33:00,10 Biggest Software Companies Investopedia
SAP,2020-08-06 12:00:00,Global Organizations Continue to Select SAP® SuccessFactors® Solutions to Modernize Human Resources PR Newswire
SAP,2020-08-04 08:00:00,"SAP® Invests In Vistex, Companies Deepen Strategic Relationship PR Newswire"
SAP,2020-08-01 02:00:00,Startups Weekly: Qualtrics IPO to be even more exciting this time around TechCrunch
SAP,2020-07-31 08:31:00,"SAP, Deutsche Telekom to build corona app gateway for European Commission Reuters"
SAP,2020-07-31 01:59:00,"SAP, Deutsche Telekom close to European coronavirus app deal - Wiwo Reuters"
SAP,2020-07-30 03:36:00,"SAP Taps Morgan Stanley, JPMorgan for Qualtrics IPO Bloomberg"
SAP,2020-07-28 02:46:00,SAP decision to spin out Qualtrics 20 months after spending $8B surprises industry watchers TechCrunch
SAP,2020-07-28 04:00:00,SAP and E.ON to Build New Process and Technology Platform PR Newswire
SAP,2020-07-27 03:30:00,SAP SE O.N. (SAP) Q2 2020 Earnings Call Transcript Motley Fool
SAP,2020-07-27 01:03:00,SAP To Take Qualtrics Public Via U.S. IPO Yahoo Finance Video
SAP,2020-07-27 01:00:00,Equity Shot: All about the Qualtrics IPO TechCrunch
SAP,2020-07-27 12:39:00,SAP Is Planning an IPO for Its Cloud-Software Qualtrics Unit Barrons.com
SAP,2020-07-27 11:02:00,"SAP Q2 Earnings Top Estimates, Stock Up on Qualtrics Spin-Off Zacks"
SAP,2020-07-27 10:51:00,"Earnings in Focus: Hasbro, SAP and Albertsons Yahoo Finance Video"
SAP,2020-07-27 10:24:00,Price Over Earnings Overview: SAP Benzinga
SAP,2020-07-27 09:54:00,"Equity Monday: SAP, Qualtrics and oh boy are we excited TechCrunch"
SAP,2020-07-27 09:20:00,German Software Giant SAP Announces IPO for U.S. Arm Qualtrics. Shares Are Climbing. Barrons.com
SAP,2020-07-27 09:02:00,An $8 Billion U-Turn Works for Europes Top Tech Firm Bloomberg
SAP,2020-07-27 08:58:00,SAP puts M&A back on agenda after Qualtrics spinoff Reuters
SAP,2020-07-27 08:55:00,"Billionaire investor Ray Dalio fears for the dollar and the soundness of our money, and heres why MarketWatch"
SAP,2020-07-27 01:02:00,SAP Resilient Amid COVID-19 Crisis; Sharp Increase in Operating and Free Cash Flow PR Newswire
SAP,2020-07-26 05:40:00,SAP Announces Intent to Take Qualtrics Public PR Newswire
SAP,2020-07-24 04:15:00,"GLOBAL MARKETS-Shares retreat globally on U.S.-China tensions, gold soars Reuters"
SAP,2020-07-24 11:08:00,"REFILE-GLOBAL MARKETS-Shares retreat globally on U.S.-China tensions, gold soars Reuters"
SAP,2020-07-23 04:15:00,The Peck Company Holdings Recognized as a Top Solar Contractor for 2020 Business Wire
SAP,2020-07-23 03:36:00,Is the Earnings Improvement for Real? Zacks
SAP,2020-07-22 11:53:00,Software maker Jamf Holding's shares jump 77% in stock market debut Reuters
SAP,2020-07-21 07:59:00,Software maker Jamf Holding raises $468 mln in U.S. IPO Reuters
SAP,2020-07-21 03:03:00,Eurozone shares hit March highs on EU deal optimism Reuters
SAP,2020-07-21 01:08:00,TikToks Former Chief to Oversee Investment at ByteDance Bloomberg
SAP,2020-07-20 12:14:00,Why SAP SE (SAP) Stock is a Compelling Investment Case Insider Monkey
SAP,2020-07-15 09:00:00,SAP® Training and Adoption Enhances Digital Learning to Foster People and Business Success PR Newswire
SAP,2020-07-14 10:00:00,SAP Offers New SAP® Fieldglass® External Talent Marketplace at No Charge to Help Businesses Fill Temporary Jobs PR Newswire
SAP,2020-07-09 10:32:00,P/E Ratio Insights for SAP Benzinga
SAP,2020-07-09 10:01:00,"SAP Announces Encouraging Q2 Preliminary Results, Shares Up Zacks"
SAP,2020-07-09 03:16:00,SAP Revenue Begins to Recover from Pandemic-Fueled Slowdown Bloomberg
SAP,2020-07-09 03:03:00,European shares rise after SAP's reassuring outlook Reuters
SAP,2020-07-08 05:47:00,SAP says business recovered more than expected in Q2 Reuters
SAP,2020-07-08 05:10:00,SAP says business conditions are improving; reaffirms previous 2020 guidance MarketWatch
SAP,2020-07-08 04:53:00,SAP Pre-Announces Strong Second Quarter Results Amid COVID-19 Crisis PR Newswire
SAP,2020-07-07 02:21:00,"Google, Deutsche Bank Agree to 10-Year Cloud Partnership Bloomberg"
SAP,2020-07-06 05:25:00,Joe Rogan Can't Fix Spotify's Biggest Flaw Bloomberg
SAP,2020-07-06 02:00:00,Make a vaccine? I'm trying to teach my kids the alphabet Reuters
SAP,2020-07-02 11:18:00,The Facebook ad boycott could pay off for companies more than advertising on Facebook MarketWatch
SAP,2020-06-30 11:58:00,Is SAP SE (SAP) A Good Stock To Buy? Insider Monkey
SAP,2020-06-30 05:56:00,MS Global Franchise Fund's 1st-Quarter Portfolio GuruFocus.com
SAP,2020-06-30 12:23:00,Here are tech companies plans for increasing diversity amid protests over racial inequality MarketWatch
SAP,2020-06-29 11:19:00,SAP SE -- Moody's announces completion of a periodic review of ratings of SAP SE Moody's
SAP,2020-06-25 04:07:00,IGT Holding III AB -- Moody's announces completion of a periodic review of ratings of IGT Holding III AB Moody's
SAP,2020-06-25 12:24:00,"After years of talk, tech companies appear to be getting serious about diversity efforts MarketWatch"
SAP,2020-06-25 08:30:00,The Peck Company Holdings Provides Additional COVID-19 Update Stating its Back to 100% Working Capacity and No Contract Cancellations Business Wire
SAP,2020-06-25 07:09:00,Why Make a Needless Enemy Out of Paul Singers Elliott? Bloomberg
SAP,2020-06-25 05:57:00,European stocks inch higher after previous days pounding; Wirecard collapses MarketWatch
SAP,2020-06-24 10:10:00,IBM & SAP Team Up to Drive Digital Overhaul of Enterprises Zacks
SAP,2020-06-23 10:00:00,IBM and SAP Announce New Offerings to Help Companies' Journey to the Intelligent Enterprise PR Newswire
SAP,2020-06-19 05:39:00,German coronavirus tracing app downloaded almost 10 mln times - govt Reuters
SAP,2020-06-18 11:14:00,Sappi Papier Holding GmbH -- Moody's announces completion of a periodic review of ratings of Sappi Limited Moody's
SAP,2020-06-18 04:00:00,"SAP's Business Technology Platform: A Trifecta of Data Excellence, Integration and Extension for the Intelligent Enterprise PR Newswire"
SAP,2020-06-17 03:49:00,German coronavirus tracing app downloaded 6.5 million times Reuters
SAP,2020-06-16 11:22:00,Texas Hospitalizations Surge; Beijing Schools Shut: Virus Update Bloomberg
SAP,2020-06-16 07:30:00,SAP Delivers Innovations That Tackle Supply Chain and Industry Challenges; Embedding Sustainability for the Post-Pandemic Era PR Newswire
SAP,2020-06-16 06:11:00,Germany Rolls Out Coronavirus-Tracing App to Fight Second Wave Bloomberg
SAP,2020-06-16 06:00:00,EU member states agree specs for coronavirus app interoperability Reuters
SAP,2020-06-16 04:25:00,CORRECTED-German coronavirus smartphone tracing app goes live Reuters
SAP,2020-06-16 03:13:00,SAP launches product to help firms track supply chain emissions Reuters
SAP,2020-06-15 11:42:00,SAP expects carbon footprint software to have ripple effect Financial Times
SAP,2020-06-15 03:18:00,"Coronavirus update: U.S. death toll tops 115,000 amid growing worry about uptick in cases in Florida, Texas among others MarketWatch"
SAP,2020-06-15 07:30:00,EXPLAINER-Europe steps up tech battle vs coronavirus with German app Reuters
SAP,2020-06-14 05:35:00,"SAP SAPPHIRE NOW Financial Analyst Conference - June 15th, 2020 PR Newswire"
SAP,2020-06-14 01:57:00,Germany says coronavirus tracing app ready to go Reuters
SAP,2020-06-13 10:55:00,"Honeywell, SAP are teaming in the cloud to remake commercial real estate in the age of COVID-19 MarketWatch"
SAP,2020-06-11 02:42:00,Coronavirus update: U.S. case tally passes 2 million mark and 21 states are still seeing increases in infections MarketWatch -5.18%
SAP,2020-06-11 10:23:00,Honeywell Drops a Software Bombshell With SAP Tie-Up Barrons.com
SAP,2020-06-11 08:00:00,"Honeywell and SAP Partner to Improve Building Performance with Integrated, Cloud-Based Business and Operational Technology Data PR Newswire"
SAP,2020-06-04 07:00:00,Europe pins hopes on smarter coronavirus contact tracing apps Reuters
SAP,2020-06-03 03:00:00,"SAP Drives Customer and Partner Success with SAP® App Center Enhancements, New SAP Endorsed Apps Initiative PR Newswire"
SAP,2020-06-01 02:37:00,"SAP Stock Shows Rising Strength Amid An Executive Shift, Mixed Earnings Investor's Business Daily"
SAP,2020-05-27 05:18:00,Workday Revenue Jumps on Robust Demand for Cloud Applications Bloomberg
SAP,2020-05-27 04:15:00,SAP Cloud CFO Departs for Zuora in Latest Executive Exit Bloomberg
SAP,2020-05-27 09:00:00,SAP® for Me Is Generally Available With Expanded Scope Enhancing the Digital Experience PR Newswire
SAP,2020-05-19 11:00:00,SAP investors sound off on boardroom departures Financial Times
SAP,2020-05-19 08:30:00,The Peck Company Holdings Expands Its Solar Project Pipeline in Maine for up to 50 MWs Capacity Business Wire
SAP,2020-05-17 03:30:00,"Take the Money Before Things Get Worse, Junk Bond Salesmen Say Bloomberg"
SAP,2020-05-16 03:06:00,SAP SE (ETR:SAP) Will Pay A 1.58 Dividend In 4 Days Simply Wall St.
SAP,2020-05-14 07:00:00,The Peck Company Holdings Reports First Quarter 2020 Results Business Wire
SAP,2020-05-14 02:22:00,"The Zacks Analyst Blog Highlights: SAP, Thermo Fisher, TOTAL, 3M and FIS Zacks"
SAP,2020-05-14 10:37:00,Zoom Shot to Coronavirus Fame But Its Got Company Bloomberg
SAP,2020-05-14 04:14:00,Sappi Papier Holding GmbH -- Moody's assigns Ba2 rating to Sappi's EUR250 million senior notes issuance Moody's
SAP,2020-10-07 08:30:00,The Peck Company Holdings Expands into Rhode Island with $7.256 Million EPC Contract for a 5.3MW Solar Project Business Wire
SAP,2020-10-07 08:00:00,"Sunworks Announces $10 Million in Q3 Project Wins, Representing an Acceleration in Activity and Improving Market Conditions GlobeNewswire"
SAP,2020-10-06 06:57:00,SAP's Emarsys Buyout to Improve Customer Experience Portfolio Zacks
SAP,2020-10-06 09:00:00,"SAP® SuccessFactors® Employee Central Tops 4,000 Customers PR Newswire"
SAP,2020-10-06 08:00:00,"SAP Launches 5 & 5 by '25 Initiative, Rallying Businesses to Spend More with Social Enterprises and Diverse Suppliers CNW Group"
SAP,2020-10-06 04:00:00,SAP Launches New Mobile App for Global Sailing Community to Create Races and Access Live Tracking Data PR Newswire
SAP,2020-10-05 11:00:00,"SAP Launches 5 & 5 by '25 Initiative, Rallying Businesses to Spend More with Social Enterprises and Diverse Suppliers PR Newswire"
SAP,2020-10-05 06:00:00,TAFE NSW Targets A$33 Million in Savings with SAP® Ariba® Solutions PR Newswire
SAP,2020-10-01 10:18:00,SAP continues to build out customer experience business with Emarsys acquisition TechCrunch
SAP,2020-10-01 09:00:00,SAP to Acquire Omnichannel Customer Engagement Leader Emarsys PR Newswire
SAP,2020-09-30 09:30:00,J.P. Morgan Asset Management Partners with SAP to Enhance Morgan Money Liquidity Platform PR Newswire
