,0,1
0,Aug-25-20 08:01PM,Apple Plans to Start Selling Online in India Next Month Bloomberg
1,04:25PM,"Amazon.com Inc. stock rises Tuesday, outperforms market MarketWatch"
2,02:45PM,"COVID-19-related consumer needs are turning Best Buy into an essential retailer, analysts say MarketWatch"
3,12:23PM,"Target, Royal Caribbean, Amazon and Walmart highlighted as Zacks Bull and Bear of the Day Zacks"
4,11:00AM,Walmart First Retailer to Install Mamava Lactation Suites Business Wire
5,10:00AM,3 Reasons Target's and Walmart's Growth Will Slow in the Second Half Motley Fool
6,09:43AM,Why Best Buys Pandemic Bounce Fell Short of Targets Bloomberg
7,08:02AM,Walmart Overtakes Amazon in Online Grocery Shopping WWD
8,Aug-24-20 11:49PM,Indias New Economy Cant Be a Monopoly Board Bloomberg
9,04:25PM,"Amazon.com Inc. stock rises Monday, still underperforms market MarketWatch"
10,02:08PM,Kings Food Market and Balducci's parent files for bankruptcy MarketWatch
11,01:11PM,"The Zacks Analyst Blog Highlights: Walmart, Target, Lowe's and Amazon Zacks"
12,11:00AM,"Walmart Hosts First-Ever Free Online Wellness Event with Resources on Nutritional, Heart and Mental Health Business Wire"
13,08:59AM,Keeping Schools Closed Could Cost the U.S. Economy at Least $700 Billion Barrons.com
14,08:00AM,Agustin Pichot Appointed Director Representing Fortescue Metals Group GlobeNewswire
15,06:07AM,RPT-BUZZ-U.S. stocks weekly: New bull in town Reuters
16,04:55AM,Tencent Gains $37 Billion After U.S. Reassures on WeChat Ban Bloomberg
17,Aug-23-20 11:17AM,"Walmart: Good Quarter, Expensive Stock GuruFocus.com"
18,10:00AM,The Key Difference Between Walmart and Target's Earnings Reports Motley Fool
19,Aug-22-20 02:53PM,"Benzinga's Bulls And Bears Of The Week: GM, Intel, Walmart And More Benzinga"
20,Aug-21-20 04:56PM,Back to School Is Not the Same. Here Are 4 Stock Picks to Play the Changes. Barrons.com
21,04:25PM,"Amazon.com Inc. stock falls Friday, underperforms market MarketWatch"
22,04:18PM,'A really tough spot' for employees: How companies are enforcing mask compliance Yahoo Finance
23,02:18PM,"Top Analyst Reports for Facebook, Walmart & Morgan Stanley Zacks"
24,01:37PM,Dow Jones Extends Gains As Apple Rallies; Nasdaq Marks Record High Investor's Business Daily
25,01:37PM,"Apple Inc., Nike share gains contribute to Dow's nearly 150-point climb MarketWatch"
26,12:08PM,"Employers, workers face challenges in mask compliance Yahoo Finance Video"
27,10:53AM,"Digitization Plays Key Role for WMT, TGT & LOW in Q2 Earnings Zacks"
28,10:19AM,The S&P 500 Set a New All-Time High Now What? InvestorPlace
29,10:06AM,Costco Is Expensive but it May Be Worthwhile InvestorPlace
30,10:00AM,"Buy Walmart, Sell Tesla Motors? Motley Fool"
31,09:23AM,Retailer Buckle Shares Jump as Earnings Double TheStreet.com
32,08:30AM,Is Amazon Actually Losing Market Share? Motley Fool
33,07:25AM,Target Is Killing Amazon and Walmart in This Key Metric Motley Fool
34,06:00AM,"Fearing shipping crunch, retailers set earliest-ever holiday sale plans Reuters"
35,04:00AM,The Future of Trader Joes Looks Bumpy Bloomberg
36,Aug-20-20 07:03PM,Buy Dollar General Stock After Walmart & Target's Strong Pandemic Earnings? Zacks
37,04:25PM,"Amazon.com Inc. stock rises Thursday, outperforms market MarketWatch"
38,04:20PM,"Tesla Resumes Rally to Surpass $2,000 Ahead of Stock Split Bloomberg"
39,02:05PM,How These 3 Stocks Beat Wall Street Expectations Motley Fool
40,12:30PM,Target Posts Double-Digit Profitability; Can It Last? Motley Fool
41,11:56AM,"Dow Jones Steady as Intel Restarts Share Buybacks, Walmart Stock Cools Off Motley Fool"
42,11:30AM,Synchrony (SYF) Up 5.2% Since Last Earnings Report: Can It Continue? Zacks
43,11:19AM,Walmart Could End Long-Term Uptrend FX Empire
44,10:46AM,"Dow Inc., Walmart share losses contribute to Dow's 31-point drop MarketWatch"
45,09:54AM,DoorDash launches grocery delivery on its app Reuters
46,08:17AM,Why Target Stock Jumped and Walmart Slipped Even Though Both Had Strong Earnings Barrons.com
47,08:02AM,CVS expands third-party lab partners network to speed up COVID-19 test results Reuters
48,08:00AM,2 Top Value Stocks in August That Will Make You Rich Motley Fool
49,07:30AM,How Walmart Overcame a 14% Drop in Customer Traffic Motley Fool
50,Aug-19-20 11:19PM,Trump Adds to Earnings Threat as Alibaba Challenged in China Bloomberg
51,04:25PM,"Amazon.com Inc. stock falls Wednesday, underperforms market MarketWatch"
52,03:41PM,"Coca-Cola, Walmart share losses contribute to Dow's 50-point drop MarketWatch"
53,03:32PM,"4 Walmart Analysts On Q2 Report, What's Next For Retail Giant Benzinga"
54,03:11PM,Stock Market Today: The Bear Is Dead; Long Live the Bull! Kiplinger
55,01:10PM,1 Surprising Number From Walmart's Second Quarter Report Motley Fool
56,12:16PM,Dow rises and S&P 500 carves out intraday record high as Apple hits $2 trillion market value MarketWatch
57,12:10PM,Amazon Wins Loyal Walmart Shoppers as Americans Stampede Online Bloomberg
58,12:04PM,Amazon ramps up pressure on Walmart with fresh moves in online grocery MarketWatch
59,11:58AM,Why Target Is Soaring Today Motley Fool
60,11:55AM,3 Reasons Walmart and Target Are Killing It Right Now Motley Fool
61,11:51AM,"Dow Jones Rallies 125 Points, As Nasdaq, S&P 500 Set Records; Apple Market Cap Tops $2 Trillion Investor's Business Daily"
62,11:41AM,Better Buy: Costco Wholesale vs. Walmart Motley Fool
63,11:40AM,KR vs. WMT: Which Stock Is the Better Value Option? Zacks
64,11:28AM,2 Surprising Changes Attacking Amazon's Dominance Motley Fool
65,11:27AM,Why Is Home Depot Stock Down? Motley Fool
66,11:16AM,Morning Bell With Jim Cramer: Wait to Buy Home Depot TheStreet.com
67,11:00AM,Target Soars Most Since March as a Big Retail Winner in Pandemic Bloomberg
68,10:15AM,"US STOCKS-S&P 500 notches record high for second day after Target, Lowe's results beat Reuters"
69,10:05AM,Walmart Solid Q2 Results Put These ETFs in Focus Zacks
70,09:33AM,Target Smashes Q2 Profit Forecast on Record Same-Store Sales; Shares Surge To All-Time High TheStreet.com
71,09:24AM,3 Reasons Walmart Crushed Q2 Earnings Motley Fool
72,09:24AM,Target Stock Pops 8% Because Its Sales Are Way Better Than Walmarts Barrons.com
73,08:44AM,"US STOCKS-Wall St set to open higher after solid results from Lowe's, Target Reuters"
74,08:30AM,Walmart Sounds a Warning on the Economy Motley Fool
75,08:25AM,Walmart to Participate in Cowen's 2020 Broadline & Grocery Executive Summit Business Wire
76,07:03AM,"US STOCKS-Futures inch higher after solid results from Lowe's, Target Reuters"
77,07:00AM,2 Growth Stocks to Buy and Hold for the Next 50 Years Motley Fool
78,06:31AM,Target sales growth hits record as faster delivery boosts online demand Reuters
79,06:30AM,"Target reports record-setting quarterly profits and comparable sales, $5 billion in market share gains for first half of 2020 MarketWatch"
80,06:00AM,How Safe Is Walmart Stock and Its Dividend? Motley Fool
81,05:42AM,Amazon expands Morrisons deal with full-range offer Reuters
82,05:01AM,Target Reports Earnings Today. Heres What to Expect. Barrons.com
83,01:45AM,Walmart Posts Record Surge in Q2 Online Sales; Buy with Target Price $150 FX Empire
84,Aug-18-20 09:12PM,Amazon Makes It Harder for Sellers to Avoid Shipping Service Bloomberg
85,06:27PM,"We're Back: S&P 500 Reaches All-Time High, Walmart, Home Depot Earnings, Oracle TikTok Play, Buffett Selling Stocks in 2020 Motley Fool"
86,06:14PM,US Stocks Close Mostly Higher Tuesday GuruFocus.com
87,04:36PM,US STOCKS-The pandemic bull market: S&P 500 closes at record high Reuters
88,04:33PM,"GLOBAL MARKETS-Stocks rally on new U.S. highs, dollar at 2-year low Reuters"
89,04:25PM,Amazon.com Inc. stock outperforms competitors on strong trading day MarketWatch
90,04:17PM,S&P 500 Hits Record High Amid Choppy Trade; July Housing Starts Soar Investor's Business Daily
91,04:01PM,US Stock Market Overview - Stocks Close Mixed; S&P 500 Closes at an All-time High FX Empire
92,04:00PM,"US STOCKS-S&P 500 hits record closing high, regaining pre-COVID level Reuters"
93,03:27PM,Retail Stocks Are Falling Despite Blockbuster Profits. Why the Market Doesnt Trust the Numbers. Barrons.com
94,03:08PM,"GLOBAL MARKETS-Stocks rally on new U.S. highs, dollar at 2-year low Reuters"
95,02:35PM,PreMarket Prep Stock Of The Day: Walmart Benzinga
96,02:33PM,"US STOCKS-S&P 500 hits new intraday record, regaining pre-COVID levels Reuters"
97,01:50PM,Cramer On Why He Expects Big Retailers To Smash Earnings Estimates Benzinga
98,01:45PM,US STOCKS-S&P 500 on track for record closing high Reuters
99,01:38PM,"S&P 500 Reaches Record High, But Many Stocks Sit Out The Celebration Investor's Business Daily"
