,0,1
0,Aug-25-20 11:40AM,"Causeway Capital Cuts Linde, Microsoft, FedEx GuruFocus.com"
1,Aug-21-20 06:30AM,Linde to Contribute to EU's Hydrogen Strategy as a Member of the European Clean Hydrogen Alliance ACCESSWIRE
2,Aug-20-20 07:58AM,Shares of Linde Could Go Up in a Lighter Than Air Rally TheStreet.com
3,Aug-18-20 04:51PM,Sarah Ketterer's Top 2nd-Quarter Trades GuruFocus.com
4,Aug-17-20 06:20AM,Linde Launches 2019 Sustainable Development Report ACCESSWIRE
5,Aug-12-20 11:06AM,A Trio of High Performing Stock Picks to Consider GuruFocus.com
6,Aug-10-20 05:46PM,Why These 3 Hydrogen Stocks Popped in July Motley Fool
7,Aug-06-20 09:15AM,"Linde (LIN) Soars to 52-Week High, Time to Cash Out? Zacks"
8,Aug-04-20 06:20AM,Linde Announces Pricing of $1 Billion Notes ACCESSWIRE
9,Jul-30-20 08:02AM,Linde: Q2 Earnings Insights Benzinga
10,07:45AM,Linde (LIN) Surpasses Q2 Earnings and Revenue Estimates Zacks
11,06:30AM,Linde plc: Linde Reports Second-Quarter 2020 Results (Earnings Release Tables attached) ACCESSWIRE
12,Jul-29-20 06:30AM,Linde Starts Up New Plants for Major Electronics Customer in Taiwan ACCESSWIRE
13,Jul-28-20 06:30AM,Linde to Build and Operate World's First Hydrogen Refueling Station for Passenger Trains ACCESSWIRE
14,Jul-27-20 03:30PM,Linde plc: Linde Declares Dividend in Third Quarter 2020 ACCESSWIRE
15,Jul-25-20 04:59PM,"Hydrogen Fuel-Cell Stocks Are Soaring. Yes, Its a Bubble. Barrons.com"
16,Jul-23-20 12:33PM,Analysts Estimate Linde (LIN) to Report a Decline in Earnings: What to Look Out for Zacks
17,06:10AM,Linde Signs MoU with CNOOC to Jointly Develop China's Hydrogen Energy Industry ACCESSWIRE
18,Jul-16-20 11:34AM,6 Low Price-Earnings Stocks Paying a High Dividend Yield GuruFocus.com
19,06:15AM,Linde Signs MoU with China Power to Develop Green Hydrogen Energy in China ACCESSWIRE
20,Jul-08-20 02:14PM,Were Hedge Funds Right About Piling Into Linde plc (LIN)? Insider Monkey
21,08:03AM,Linde (LIN) Commences Operations in New Plants in Texas Zacks
22,Jul-07-20 06:10AM,Linde Starts Up Plants to Supply Celanese and Other Customers in the U.S. Gulf Coast ACCESSWIRE
23,Jul-06-20 01:00PM,Linde Announces Changes to Annual General Meeting of Shareholders ACCESSWIRE
24,Jul-02-20 06:30AM,FTSE4Good Index Includes Linde for Fifth Consecutive Year ACCESSWIRE
25,Jul-01-20 06:20AM,Linde Announces Second Quarter 2020 Earnings and Conference Call Schedule ACCESSWIRE
26,Jun-29-20 07:00AM,MSCI Upgrades Linde's ESG Rating to A ACCESSWIRE
27,Jun-17-20 06:40AM,Linde Named Top 25 in 100 Best Corporate Citizens of 2020 ACCESSWIRE
28,Jun-12-20 08:33AM,10 Stocks With Little or No Debt to Own for the Next 50 Years InvestorPlace
29,Jun-10-20 10:55AM,Linde (LIN) Is the Most Recession-Resistant Stock to Buy Now Insider Monkey
30,06:00AM,"The Rally in Cyclical Stocks Is Just Getting Started. Citi, Chevron, and 38 Other Stocks to Play the Rebound. Barrons.com"
31,Jun-04-20 07:04AM,What its like to buy $9 billion in stocks during a market crash this fund manager did just that MarketWatch
32,May-31-20 05:58AM,3 Strong Buy Value Stocks Gearing up for Gains TipRanks
33,May-28-20 12:51PM,AT&T Boosts Network Operations With Linde Contract Extension Zacks
34,May-27-20 02:19PM,Hedge Funds Arent Done Buying Linde (LIN) Insider Monkey
35,May-22-20 06:20AM,Linde Recognized as a Leader in Diversity and Inclusion by DiversityInc ACCESSWIRE
36,May-19-20 12:00PM,"Causeway's Sarah Ketterer Slashes Holdings of Oil Stocks, Buys Bottling Company GuruFocus.com"
37,May-12-20 08:55AM,"Oil & Gas Stock Roundup: Linde, Phillips 66 & Marathon Petroleum Report Q1 Earnings Zacks"
38,May-08-20 03:30AM,Linde PLC (LIN) Q1 2020 Earnings Call Transcript Motley Fool
39,May-07-20 10:09AM,Linde (LIN) Q1 Earnings Beat Estimates on Higher Prices Zacks
40,08:18AM,Linde Posts Solid First-Quarter Results Thanks to Its Resilient Business Model Morningstar
41,07:35AM,Linde (LIN) Q1 Earnings Beat Estimates Zacks
42,06:20AM,Linde plc: Linde Reports First-Quarter 2020 Results (Earnings Release Tables Attached) ACCESSWIRE
43,May-06-20 11:31AM,Linde (LIN) to Report Q1 Earnings: What's in the Cards? Zacks
44,06:20AM,Linde Starts Up New Plant in China to Supply GTA Semiconductor ACCESSWIRE
45,May-05-20 06:30AM,Linde Starts Up New Syngas Processing Plant in the U.S. Gulf Coast ACCESSWIRE
46,May-03-20 03:45PM,3 Stocks That Have Grown Revenue Fast GuruFocus.com
47,Apr-30-20 12:34PM,Linde (LIN) Earnings Expected to Grow: What to Know Ahead of Next Week's Release Zacks
48,08:00AM,Linde Completes Divestment of Selected Businesses in Northern Europe ACCESSWIRE
49,Apr-27-20 11:30AM,Linde Declares Dividend in Second Quarter 2020 ACCESSWIRE
50,Apr-23-20 12:10PM,What Lies Ahead for Materials ETFs in Q1 Earnings? Zacks
51,06:20AM,Linde Leverages Technology to Sign Long-Term Agreement with Largest Refiner in India ACCESSWIRE
52,Apr-21-20 06:20AM,Linde Starts Up First Phase of Pyeongtaek Project to Supply Samsung in South Korea ACCESSWIRE
