,0,1
0,Sep-28-20 04:04PM,"Dow Jones Stocks To Buy And Watch In September 2020: Amgen, Apple, Home Depot, Microsoft Investor's Business Daily"
1,12:20PM,Nike Just Did It Benzinga
2,11:30AM,Has NIKE (NKE) Outpaced Other Consumer Discretionary Stocks This Year? Zacks
3,07:08AM,Mike Khouw Updates His Nike Options Trade Benzinga
4,07:07AM,Top 6 Dow Stocks to Boost Portfolio in a Capricious Market Zacks
5,Sep-27-20 10:11AM,Digital Sales Could Send Nike Even Higher GuruFocus.com
6,Sep-26-20 11:09AM,5 Best Stocks in the Dow This Past Week: Nike Rises High TheStreet.com
7,09:00AM,Oracle Buying TikTok and 15 More Strange but Lucrative Partnerships GOBankingRates
8,Sep-25-20 07:27PM,Nike Stock Looks Good for the Long Run Barrons.com
9,05:14PM,"Stock Market Correction Begins; Tesla Battery Day, Nike Earnings, TikTok Saga In Focus: Weekly Review Investor's Business Daily"
10,02:46PM,"At Nike, Waste Is Working New Wonders WWD"
11,02:12PM,3 Fitness Stocks Whose Hard Work Can Reward You InvestorPlace
12,09:34AM,Unusual Options Activity Insight: Nike Benzinga
13,07:05AM,Preformed Line Products Company (NASDAQ:PLPC) Goes Ex-Dividend Soon Simply Wall St.
14,Sep-24-20 04:22PM,Dow Jones Finishes Higher After Weak Jobless Claims Report As Tesla Shows This Bullish Chart Action Investor's Business Daily
15,04:07PM,Nike's new Air Jordan 35 aims to combine 'culture and a functional shoe' Yahoo Finance
16,02:34PM,Nike Stock: Is It A Buy As Digital Sales Soar Amid Coronavirus Crisis? Investor's Business Daily
17,02:18PM,Why Nike Is Pegged by an Analyst to See Big EPS Growth Motley Fool
18,01:05PM,"Amazon agreed to call it the 'Prime Bike,' says Echelon CEO Yahoo Finance"
19,12:29PM,"Dow Jones Volatile on Elevated Unemployment Claims; Nike, Home Depot, and Goldman Sachs Talked Up by Analysts Motley Fool"
20,12:00PM,The Secret to Nike's Blowout Quarter Motley Fool
21,11:34AM,Morning Bell With Jim Cramer: Is Johnson & Johnson a Buy? TheStreet.com
22,10:46AM,"Dow's nearly 50-point fall led by losses in shares of Boeing, Nike MarketWatch"
23,09:30AM,"Despite Strong Fundaments, Nike Could See Price Weakness With the Broad Market TheStreet.com"
24,Sep-23-20 07:01PM,"Jim Cramer: Tesla, Nike, and a Tale of Expectations TheStreet.com +8.76%"
25,06:34PM,"September Sell-Off: S&P 500 Craters 78 Points, Approaching Correction Levels as Apple, Oxy, Lead Tech Stocks, Energy Stocks Down Motley Fool"
26,05:20PM,Nike is 'just getting started' after blowing away investor expectations Yahoo Finance
27,04:47PM,Dow Falls 500 Points as Fed Warns More Stimulus Needed TheStreet.com
28,04:42PM,Dow Jones Sinks Over 500 Points But This Blue Chip Soars On Earnings Investor's Business Daily
29,04:36PM,US STOCKS-Wall Street closes lower on fears of a slowing economy Reuters
30,04:28PM,"Nike, JinkoSolar, SPI Energy: 5 Top Gainers for Wednesday TheStreet.com"
31,04:01PM,US STOCKS-Wall Street closes lower on fears of a slowing economy Reuters
32,03:21PM,The Nike Rebound Is Almost Complete Motley Fool
33,03:17PM,Dow Jones Drops As Bears Batter Bulls; Apple Stock Surrenders Key Support Investor's Business Daily
34,02:54PM,Why Under Armour Stock Just Jumped 7% Motley Fool
35,02:52PM,"US STOCKS-Wall Street retreats as business activity slows, raising fears over economy Reuters"
36,02:30PM,Dow Jones Dives 400 Points As Selling Ramps Up; Nasdaq Drops Over 2% Investor's Business Daily
