Company,Timestamp,Label,Headline
LOW,2020-10-09 06:45:00,0,Bull of the Day: Lowe's Companies (LOW) Zacks
LOW,2020-10-08 12:34:00,0,Shark Tank star Daymond John: We should be building businesses Yahoo Finance
LOW,2020-10-08 08:17:00,0,"Lowe's (LOW) Enhances Bonus, Supports Employees Amid Pandemic Zacks"
LOW,2020-10-07 18:11:00,1,Lowe's Prices $4 Billion Notes Offering PR Newswire
LOW,2020-10-07 15:00:00,1,Media Advisory - Government of Canada to make important announcement on moving goods to international markets CNW Group
LOW,2020-10-07 09:30:00,1,Lowe's Canada provides additional discretionary bonus to support front-line hourly associates CNW Group
LOW,2020-10-07 08:34:00,1,Lowe's to spend $100 million for an additional pandemic bonus for workers MarketWatch
LOW,2020-10-07 08:28:00,1,Lowe's Announces Cash Tender Offers For Certain Of Its Outstanding Debt Securities PR Newswire
LOW,2020-10-07 08:15:00,1,"Lowe's Provides Additional Bonus To Support Associates, Increasing Pandemic Commitment To More Than $775 Million PR Newswire"
LOW,2020-10-05 09:00:00,0,Trick-or-Treating Isn't Cancelled This Year -- Thanks to Lowe's Curbside Events Nationwide PR Newswire
LOW,2020-10-03 11:03:00,-1,8 Stocks That Will Benefit as Consumers Keep Staying Indoors Barrons.com
LOW,2020-10-03 08:00:00,-1,"D.R. Horton, LGI Homes In Buy Range, Lowe's Sets Up As Coronavirus Fuels Housing Stocks Investor's Business Daily"
LOW,2020-10-02 16:18:00,0,COMM 2012-CCRE1 Mortgage Trust -- Moody's affirms six and downgrades five classes of COMM 2012-CCRE1 Moody's
LOW,2020-10-02 12:45:00,0,3 Reasons Growth Investors Will Love Lowe's (LOW) Zacks
LOW,2020-10-02 11:51:00,0,Lowe's Gains From Home Improvement Business & Online Sales Zacks
LOW,2020-09-30 06:31:00,0,RONA and Reno-Depot are hiring to fill over 625 positions in Quebec CNW Group
LOW,2020-09-29 17:10:00,1,Citigroup Commercial Mortgage Trust 2016-C1 -- Moody's affirms nine classes of CGCMT 2016-C1 Moody's
LOW,2020-09-29 08:36:00,1,Is Lowe's (LOW) Stock a Solid Choice Right Now? Zacks
LOW,2020-09-28 11:16:00,1,"Americans are using discretionary dollars to remodel their homes, here's how Yahoo Finance Video"
LOW,2020-09-25 13:07:00,0,5 Cyclical Companies Outperforming the S&P 500 GuruFocus.com
LOW,2020-09-23 12:58:00,0,A Trio of Stocks for the Value Investor GuruFocus.com
LOW,2020-09-23 11:51:00,0,Lowes Stock Can Keep Rallying Because People Will Be Spending More Time at Home for Longer Barrons.com
LOW,2020-09-23 10:02:00,0,"IBD 50 Stock Crafts Buy Point With NFL, 'Shark Tank' Deals Investor's Business Daily"
LOW,2020-09-23 09:00:00,0,Aboard a Winnebago in Search of Better Angels Bloomberg
LOW,2020-09-22 11:33:00,0,Lowe's launching pickup lockers at all U.S. stores by March 2021 MarketWatch
LOW,2020-09-22 07:05:00,0,Lowe's Leverages Innovative Technology to Launch Contactless Pickup Lockers Nationwide PR Newswire
LOW,2020-09-21 07:00:00,0,Can Home Depot and Lowes Stock Continue Rallying? Barrons.com
LOW,2020-09-21 04:03:00,0,"LEB Holdings (USA), Inc. -- Moody's assigns B3 rating to Barrette Outdoor Living's term loan, B2 CFR assigned; outlook stable Moody's"
LOW,2020-09-20 07:22:00,0,Lowe`s (LOW) and Home Depot (HD): Oppenheimers Concerns About Near-Term Future Insider Monkey
LOW,2020-09-18 15:46:00,0,"Oppenheimer downgrades Home Depot, Lowes on a post-pandemic reset in home improvement retail Yahoo Finance Video"
LOW,2020-09-18 12:05:00,0,5 Cyclical Companies Trading With Low Price-Sales Ratios GuruFocus.com
LOW,2020-09-18 11:30:00,0,Why Is Lowe's (LOW) Up 3.3% Since Last Earnings Report? Zacks
LOW,2020-09-16 12:45:00,-1,3 Reasons Why Lowe's (LOW) Is a Great Growth Stock Zacks
LOW,2020-09-16 12:20:00,-1,Earnings Estimates Rising for Lowe's (LOW): Will It Gain? Zacks
LOW,2020-09-16 09:56:00,-1,Lowe's Companies (NYSE:LOW) Has Gifted Shareholders With A Fantastic 170% Total Return On Their Investment Simply Wall St.
LOW,2020-09-16 08:58:00,-1,Retail Sales Come In Soft After Fiscal Stimulus Lapses; Dow Jones Futures Pare Gain Investor's Business Daily
LOW,2020-09-15 12:15:00,-1,Home Depot co-founder and Atlanta Falcons owner's best advice for New York Mets owner Steve Cohen Yahoo Finance
LOW,2020-09-15 09:38:00,-1,"Lowe's Offers Chance of a Lifetime to Hundreds of Diverse Small Businesses with Virtual Pitch Program, hosted by Shark Tank's Daymond John PR Newswire"
LOW,2020-09-15 06:00:00,-1,Shoppers Drug Mart to expand Canadians' access to virtual care through $75 million investment in Maple CNW Group
LOW,2020-09-14 15:00:00,0,IBD 50 Stocks To Watch: Why Lowe's Has Established A Second Buy Point Investor's Business Daily
LOW,2020-09-11 21:46:00,1,Fashion designer Rebecca Minkoff on 2020 NYFW going virtual Yahoo Finance Video
LOW,2020-09-10 13:31:00,1,Black Friday shopping like we all know it is officially over because of COVID-19 Yahoo Finance
LOW,2020-09-10 09:02:00,1,Restoration Hardware Stock Pops After Strong Earnings and an Upgrade Barrons.com
LOW,2020-09-10 05:53:00,1,"Restoration Hardware Up as Brand Turns Luxe, Strength Ahead Investing.com"
LOW,2020-09-09 17:36:00,0,RH Stock Jumps After Earnings. Everyones Still Spending on Their Homes. Barrons.com
LOW,2020-09-09 09:00:00,0,"Lowe's Unites NFL Fans with a New Type of ""Home Team"" PR Newswire"
LOW,2020-09-07 05:00:00,1,Is the Stock Market Open Today? Here Are the Hours for Labor Day 2020. Barrons.com
LOW,2020-09-05 08:00:00,0,Nike Leads 5 Stocks To Watch As Market Whipsaws Investor's Business Daily
LOW,2020-09-04 08:11:00,0,Why Lowe's Stock Rose 11% in August Motley Fool
LOW,2020-09-03 11:52:00,-1,"Lowes (LOW) Has Risen 43% in Last One Year, Outperforms Market Insider Monkey -5.26%"
LOW,2020-09-02 09:00:00,-1,Lowe's to Present at the Goldman Sachs 27th Annual Global Retailing Virtual Conference PR Newswire
LOW,2020-09-01 09:55:00,-1,Lowe's Pledges $1 Million To Support American Red Cross Disaster Relief And Other Local Response Efforts In Wake Of Hurricane Laura PR Newswire
LOW,2020-08-31 16:20:00,0,Bill Ackman Thinks His Portfolio Is Well Positioned GuruFocus.com
LOW,2020-08-31 11:49:00,0,Should Value Investors Buy Lowes Companies (LOW) Stock? Insider Monkey
LOW,2020-08-29 23:35:00,0,"ATRI, LOW, CBU, AFG Rewarding Shareholders With Higher Payouts Insider Monkey"
LOW,2020-08-29 11:53:00,0,Lowes Companies (LOW) Dividend Stock Analysis For 2020 Insider Monkey
LOW,2020-08-28 15:28:00,0,"Ackman sees more gains for his portfolio, urges stock ownership for all Americans Reuters"
LOW,2020-08-27 10:48:00,0,"Home Depot, Lowe's and Tractor Supply among the retailers getting a bump in demand from hurricane season MarketWatch"
LOW,2020-08-27 08:15:00,0,Lowe's Expanded Tool Rental Business Isn't Really About Tool Rentals Motley Fool
LOW,2020-08-27 07:34:00,0,Hurricane Laura Makes Landfall. Oil Markets Shrug. Barrons.com
LOW,2020-08-26 14:04:00,-1,How Tool Rentals Could Become a Big Business at Lowes Barrons.com
LOW,2020-08-26 10:38:00,-1,Best Dividend Stocks for September 2020 Investopedia
LOW,2020-08-25 13:50:00,0,3 simple reasons behind America's housing boom Yahoo Finance
LOW,2020-08-25 12:10:00,0,Lowe's Stock Trades to an All-Time High on Earnings Investopedia
LOW,2020-08-25 09:43:00,0,Why Best Buys Pandemic Bounce Fell Short of Targets Bloomberg
LOW,2020-08-25 09:30:00,0,New York Fashion Week Is Going Home...With Lowe's PR Newswire
LOW,2020-08-24 11:31:00,0,3 Ways Lowe's Topped Home Depot This Quarter Motley Fool
LOW,2020-08-24 10:16:00,0,Lowe's Entices Investors With 9% Hike in Quarterly Dividend Zacks
LOW,2020-08-24 06:07:00,0,RPT-BUZZ-U.S. stocks weekly: New bull in town Reuters
LOW,2020-08-23 01:30:00,1,Lowes Hikes Quarterly Cash Dividend By 9% After 2Q Surprises Investors SmarterAnalyst
LOW,2020-08-21 19:11:00,1,"Housing Numbers Rise, and Lowes and Home Depot Stock Follow Barrons.com"
LOW,2020-08-21 16:30:00,1,"Lowe's Companies, Inc. raises quarterly cash dividend by 9% to $0.60 per share PR Newswire"
LOW,2020-08-21 16:18:00,1,'A really tough spot' for employees: How companies are enforcing mask compliance Yahoo Finance
LOW,2020-08-21 14:13:00,1,"Could The Lowe's Companies, Inc. (NYSE:LOW) Ownership Structure Tell Us Something Useful? Simply Wall St."
LOW,2020-08-20 16:14:00,0,Lowe's Is Outperforming Home Depot GuruFocus.com
LOW,2020-08-20 15:29:00,0,Strong Online Sales Boost Lowe's 2nd-Quarter Results GuruFocus.com
LOW,2020-08-20 12:38:00,0,"Lowes targets professionals, and its main competitor Home Depot, with new services MarketWatch"
LOW,2020-08-20 10:41:00,0,US Indexes Close Lower Wednesday GuruFocus.com
LOW,2020-08-20 09:24:00,0,Home Depot vs Lowes: Which Stock Looks Stronger After A Stellar Q2? SmarterAnalyst
LOW,2020-08-20 07:00:00,0,Lowe's (LOW) Q2 2020 Earnings Call Transcript Motley Fool
LOW,2020-08-20 05:54:00,0,"Sometimes, the stock market makes a lot of sense: Morning Brief Yahoo Finance"
LOW,2020-08-19 17:07:00,1,Stock Market Today: The New Bull Market Starts With a Limp Kiplinger
LOW,2020-08-19 16:58:00,1,"Target online sales climb 195% in 2nd quarter, profits jump 80% Yahoo Finance Video"
LOW,2020-08-19 16:52:00,1,US STOCKS-Wall Street ends lower after Fed minutes highlight tough recovery Reuters
LOW,2020-08-19 16:32:00,1,Dow Jones Drifts Lower On Fed Coronavirus Worries; Amazon Nears Buy Zone Investor's Business Daily
LOW,2020-08-19 16:00:00,1,US STOCKS-Wall Street ends lower after Fed minutes highlight difficult economic recovery Reuters
LOW,2020-08-19 15:29:00,1,"US STOCKS-S&P 500, Nasdaq slide from record highs after Fed minutes Reuters"
LOW,2020-08-19 13:17:00,1,"US STOCKS-S&P 500, Nasdaq hit record highs as Apple crosses $2 trillion mark Reuters"
LOW,2020-08-19 12:57:00,1,PreMarket Prep Stock Of The Day: Lowe's Benzinga
LOW,2020-08-19 12:37:00,1,Lowe's Reports Outstanding Fiscal Q2 Results as Consumers Turn to Home Improvement Motley Fool
LOW,2020-08-19 12:09:00,1,"Dow Jones Up As Apple Stock Makes History; S&P 500, Nasdaq Hit New Highs Investor's Business Daily"
LOW,2020-08-19 11:58:00,1,U.S. Stocks Edge Higher After the S&P 500s Record Close Barrons.com
