Company,timestamp,headline
FB,2020-08-25 07:44:00,Palantir Files for Direct Listing With Tech IPOs Surging Bloomberg
FB,2020-08-25 07:05:00,Facebook and Twitter are concerned about what is going to happen after Election Day MarketWatch
FB,2020-08-25 07:01:00,"What to Know About Palantir, the Latest Tech Company to File to Go Public Barrons.com"
FB,2020-08-25 07:00:00,Max Schrems on the EU court ruling that could cut Facebook in two TechCrunch
FB,2020-08-25 06:43:00,The Dow Has a Confidence Problem Barrons.com
FB,2020-08-25 06:41:00,Facebook Inc (FB) Is The Third Most Popular Stock Among Hedge Funds Insider Monkey
FB,2020-08-25 06:00:00,FANGMAN Is No Match for These 'Seven Princesses' Bloomberg
FB,2020-08-25 05:22:00,Facebook Has a New Top Bull on Wall Street Barrons.com
FB,2020-08-25 04:41:00,Stock Market Today: A Little Trade Sunshine Helps Stocks Grow Kiplinger
FB,2020-08-25 04:36:00,Facebook Stock Hits High As Social Media Giant Unveils E-Commerce Features Investor's Business Daily
FB,2020-08-25 04:25:00,"Alphabet Inc. Cl A stock rises Tuesday, outperforms market MarketWatch"
FB,2020-08-25 04:04:00,"Facebook, Starbucks Lift Nasdaq to 4th Straight Record High Motley Fool"
FB,2020-08-25 02:12:00,Facebook shares data on Myanmar with United Nations investigators Reuters
FB,2020-08-25 02:10:00,"BigCommerce Introduces Instagram Checkout, Tiptoeing Onto Shopify's Turf Motley Fool"
FB,2020-08-25 01:44:00,"Facebook, Twitter execs are bracing for protecting integrity during upcoming elections MarketWatch"
FB,2020-08-25 01:25:00,"Facebook Updates Shops, Expands Instagram Live Shopping WWD"
FB,2020-08-25 01:10:00,"Apple Stock Is Cheaper Than Clorox, Analyst Says. His Price Target Is Streets Highest. Barrons.com"
FB,2020-08-25 01:01:00,Facebook changes name of its annual VR event and its overall AR/VR organization TechCrunch
FB,2020-08-25 11:30:00,Is Facebook (FB) Outperforming Other Computer and Technology Stocks This Year? Zacks
FB,2020-08-25 11:04:00,"Facebook is bringing a Shop section to its app, while Instagram expands Live Shopping TechCrunch"
FB,2020-08-25 10:54:00,"Facebook plans news service launch in UK, India, Brazil Reuters"
