Company,timestamp,headline
NEE,2020-08-25 01:46:00,Top Utilities Stocks for September 2020 Investopedia
NEE,2020-08-25 10:31:00,3 Stocks to Buy With Dividends Yielding More Than 3% Motley Fool
NEE,2020-08-24 02:06:00,"NextEra Energy, Inc. (NYSE:NEE) Insiders Increased Their Holdings Simply Wall St."
NEE,2020-08-24 06:00:00,Better Buy: Brookfield Infrastructure Partners vs. NextEra Energy Motley Fool
NEE,2020-08-23 11:30:00,Why Is NextEra (NEE) Up 0.5% Since Last Earnings Report? Zacks
NEE,2020-08-22 07:37:00,3 Top Dividend Aristocrats to Buy Now Motley Fool
NEE,2020-08-21 03:13:00,5 Win-Win Stocks To Buy For Bulls And Bears Alike InvestorPlace
NEE,2020-08-21 07:41:00,"1 Utility Offering Dividends Today, Growth Tomorrow Motley Fool"
NEE,2020-08-19 05:59:00,The Future Of Energy: 3 Stocks To Watch Zacks
NEE,2020-08-17 05:51:00,"Got $1,500? Here Are 3 of the Safest Stocks to Buy Now Motley Fool"
NEE,2020-08-14 11:40:00,CMS vs. NEE: Which Stock Should Value Investors Buy Now? Zacks
NEE,2020-08-14 10:12:00,The 6 Best Solar Stocks to Buy Right Now InvestorPlace
NEE,2020-08-14 07:20:00,"Buy Utility Stocks Now, Goldman Sachs Says. They Could Be a Great Source of Dividends. Barrons.com"
NEE,2020-08-12 12:21:00,MVP Southgate natgas pipe startup seen in 2021 despite N.Carolina permit denial Reuters
NEE,2020-08-12 11:06:00,A Trio of High Performing Stock Picks to Consider GuruFocus.com
NEE,2020-08-12 07:30:00,"Where to Invest $10,000 Right Now Motley Fool"
NEE,2020-08-11 04:25:00,Ken Fisher's Top 4 Buys in the 2nd Quarter GuruFocus.com
NEE,2020-08-05 10:32:00,Now's the Time to Buy These 3 Stocks Motley Fool
NEE,2020-08-05 07:46:00,3 Dividend Stocks That Should Pay You for the Rest of Your Life Motley Fool
NEE,2020-08-04 10:01:00,Equitrans confirms early 2021 startup for Mountain Valley natural gas pipeline Reuters
NEE,2020-08-02 08:49:00,1 Great Dividend Growth Stock to Buy This August Motley Fool
NEE,2020-08-02 07:21:00,5 Top Dividend Stocks to Buy in August Motley Fool
NEE,2020-08-01 09:16:00,This Leading Renewable Energy Producer Is Already Looking Beyond Wind and Solar Motley Fool
NEE,2020-07-31 05:03:00,3 Top Renewable Energy Stocks to Buy in August Motley Fool
NEE,2020-07-30 04:44:00,"American Municipal Power, Inc. -- Moody's assigns A2 to American Municipal Power, Inc. Solar Electricity Prepayment Project Revenue Bonds; outlook stable Moody's"
NEE,2020-07-30 01:57:00,4 Stocks to Buy for a Second Wave of Coronavirus Infections Motley Fool
NEE,2020-07-30 10:45:00,NextEra Energy board declares quarterly dividend PR Newswire
NEE,2020-07-29 05:37:00,Bloom Energy CEO Calls NextEra Energy Resources a Financing Partner; NextEra Says Not True Motley Fool
NEE,2020-07-29 12:08:00,Statement by NextEra Energy Resources President and CEO John Ketchum on Bloom Energy PR Newswire
NEE,2020-07-28 03:07:00,"NextEra Energy, Inc. Recorded A 21% Miss On Revenue: Analysts Are Revisiting Their Models Simply Wall St."
