,0,1
0,Aug-25-20 10:34AM,Nike Is Taking Control of Its Own Destiny. Time to Buy. Barrons.com
1,Aug-24-20 05:50PM,Nike (NKE) Outpaces Stock Market Gains: What You Should Know Zacks
2,04:47PM,"S&P 500, Nasdaq Hit Record Highs As Several Leaders Near Buy Points Investor's Business Daily"
3,12:55PM,"How Nike Makes Money: Footwear, Apparel, and Equipment Investopedia"
4,Aug-23-20 10:00AM,Nike celebrates the life and legacy of Kobe Bryant with 'Mamba Week' Yahoo Finance
5,09:43AM,"Why It Might Not Make Sense To Buy NIKE, Inc. (NYSE:NKE) For Its Upcoming Dividend Simply Wall St."
6,Aug-21-20 04:56PM,20 Best Blue-Chip Stocks for 2020 and Beyond InvestorPlace
7,04:56PM,Back to School Is Not the Same. Here Are 4 Stock Picks to Play the Changes. Barrons.com
8,04:31PM,Dow Jones Leads Market Higher On Apple Stock Rise; Nasdaq Hits Fresh Highs Investor's Business Daily
9,03:01PM,"Apple Inc., Nike share gains lead Dow's 215-point climb MarketWatch"
10,01:37PM,Dow Jones Extends Gains As Apple Rallies; Nasdaq Marks Record High Investor's Business Daily
11,01:37PM,"Apple Inc., Nike share gains contribute to Dow's nearly 150-point climb MarketWatch"
12,09:13AM,7 Crowdfunding Investments to Revitalize Your Portfolio InvestorPlace
13,07:00AM,Better Buy: Nike vs. Lululemon Athletica Motley Fool
14,Aug-20-20 03:38PM,Market Still Lacking Some Conviction On Preformed Line Products Company (NASDAQ:PLPC) Simply Wall St.
15,03:01PM,How retailers are combating surge in online counterfeits Yahoo Finance Video
16,09:49AM,"Dow Jones Today, Stocks Open Mixed After Jobs Data; Intel Jumps On Buyback; Synopsys Nails Breakout Investor's Business Daily"
17,07:42AM,3 Reasons to Avoid Under Armour Stock Motley Fool
18,Aug-19-20 05:57PM,"Corporations Want Chief Diversity Officers, But Do They Want True Change? Insider Monkey"
19,04:32PM,Nike's direct-to-consumer offense is 'on steroids:' Analyst Yahoo Finance
20,04:32PM,Dow Jones Drifts Lower On Fed Coronavirus Worries; Amazon Nears Buy Zone Investor's Business Daily
21,02:45PM,"'Halftime Report' Traders Advise Viewers On Nike, Netflix And More Benzinga"
22,02:15PM,"Dow flat in spite of gains for Nike, Visa shares MarketWatch"
23,12:09PM,"Dow Jones Up As Apple Stock Makes History; S&P 500, Nasdaq Hit New Highs Investor's Business Daily"
24,09:45AM,"Dow up 87 points on gains for Goldman Sachs, Nike stocks MarketWatch"
25,09:16AM,Why Is Everyone Talking About Nike Stock? Motley Fool
26,Aug-18-20 11:51AM,New York gyms to reopen: Planet Fitness CEO says his chain is ready to go Yahoo Finance
27,Aug-17-20 05:50PM,Nike (NKE) Stock Sinks As Market Gains: What You Should Know Zacks
28,01:17PM,WW CEO on succeeding: Surround yourself with 'incredible talent' and make others successful Yahoo Finance
29,06:50AM,Why you may not be able to buy things you really want this holiday season Yahoo Finance
30,Aug-15-20 10:58AM,How Nike Is Positioning For a Big Comeback Beyond Coronavirus Motley Fool
31,09:30AM,Is Nike a Great Dividend Stock? Motley Fool
32,Aug-14-20 05:38PM,Stocks Likely to Survive the U.S.-China Decoupling Barrons.com
33,04:22PM,Dow Jones Drifts Higher; Three Leaderboard Stocks In Buy Zones Investor's Business Daily
34,01:53PM,"Farfetch stock soars as the shift to digital, luxury market share gains and exclusive merchandise drive revenue MarketWatch"
35,12:10PM,3 of the Best Options Trades to Enter Now InvestorPlace
36,09:46AM,"Dow Jones Today, Stocks Tightly Mixed As Stimulus Hopes Fade; Applied Materials Tops Views Investor's Business Daily"
37,06:00AM,Why I'll Never Own Under Armour Stock Motley Fool
38,Aug-13-20 06:48PM,Why Big Brand Stocks Are Dying GuruFocus.com
39,02:30PM,Nasdaq Commands Gains; Why These Dow Stocks Are Near A Buy Point Investor's Business Daily
40,01:19PM,Apples Subscription Bundles Dont Move the Needle Enough Bloomberg
41,11:38AM,Unusual Options Activity Insight: Nike Benzinga
42,09:46AM,Apple Readies Subscription Bundles to Boost Digital Services Bloomberg
43,02:10AM,Nike vs Skechers: Which Stock Is Poised For A Better Run? SmarterAnalyst
44,Aug-12-20 01:46PM,PVH Poaches Nike for New HR Chief Motley Fool
45,12:43PM,Amazon descending onto malls is the logical next step: National Retail Federation chair Yahoo Finance
46,12:07PM,"Dow Jones Spikes 300 Points On Moderna Coronavirus Vaccine Deal; Apple Rebounds 3%, While Tesla Surges On Stock Split Investor's Business Daily"
47,10:30AM,The Bad News for Nike in Foot Locker's Sales Update Motley Fool
48,10:00AM,"PVH Names Julie Fuller as Chief Human Resources Officer, Effective Jan. 1 WWD"
49,09:53AM,Go Long Nike as it Has Broken Out on the Upside TheStreet.com
50,09:48AM,"Dow Jones Today, Stocks Climb After Moderna Vaccine Deal; AMD Leads Chip Bounce; Tesla Announces Stock Split Investor's Business Daily"
51,Aug-11-20 05:50PM,Nike (NKE) Stock Moves -0.28%: What You Should Know Zacks
52,05:23PM,The obsession with Michael Jordan (and his sneakers) shows no sign of abating Quartz
53,04:24PM,Dow Jones Pares Gain Of Over 250 Points; Nike Stock Trades In Buy Range Investor's Business Daily
54,02:05PM,"Dow Jones Soars Above 28,000, Led By JPMorgan; 5 Top Growth Stocks Finding Support Investor's Business Daily"
55,01:17PM,"Dow Jones Jumps 325 Points On Russian Coronavirus Vaccine Claim; Visa Nears New Buy Point, While Tilray, Nio Report Earnings Investor's Business Daily"
