,0,1
0,Aug-25-20 01:59PM,5 Companies Reach 52-Week Highs GuruFocus.com
1,01:24PM,"Top Stock Reports for JNJ, Procter & Gamble & Thermo Fisher Zacks"
2,Aug-24-20 12:40PM,"The Zacks Analyst Blog Highlights: QIAGEN, Merit Medical, OPKO, Abbott and Abiomed Zacks"
3,11:30AM,Has Thermo Fisher Scientific (TMO) Outpaced Other Medical Stocks This Year? Zacks
4,07:37AM,Thermo Fisher Unveils Suite of Hematology-Oncology Solutions Zacks
5,06:57AM,Veeva Systems (VEEV) to Post Q2 Earnings: What's in Store? Zacks
6,Aug-21-20 11:30AM,Thermo Fisher (TMO) Up 2.8% Since Last Earnings Report: Can It Continue? Zacks
7,09:50AM,MedTech Lifts S&P 500 Index: 3 Stocks With Upside Potential Zacks
8,Aug-18-20 10:29AM,Will Thermo Fisher's (TMO) Failed QIAGEN Deal Cost it a Lot? Zacks
9,08:39AM,FDA warns providers about problems with Thermo Fisher's COVID-19 test MarketWatch
10,Aug-15-20 07:16AM,"Buy in Europe, where stocks have been brutally beaten up, says fund manager MarketWatch"
11,Aug-14-20 10:46AM,Myriad Genetics' (MYGN) Q4 Loss Narrower Than Estimated Zacks
12,07:55AM,"Accuray (ARAY) Reports Loss in Q4, Revenues Miss Estimates Zacks"
13,Aug-13-20 01:54PM,HHS invests $6.5 million in diagnostic labs to expand COVID-19 testing Reuters
14,09:39AM,Thermo Fisher Ditches Bid for Qiagen as Offer Falls Short Bloomberg
15,09:13AM,Thermo Fisher Exits Planned $13 Billion Takover Of COVID-19 Testing Group Qiagen TheStreet.com
16,08:06AM,HMS Holdings (HMSY) Loses 2.9% Since Q2 Earnings Release Zacks
17,07:41AM,Thermo Fisher ends deal agreement for genetic testing firm Qiagen Reuters
18,07:33AM,Change Healthcare (CHNG) Gains 1.9% Since Q1 Earnings Beat Zacks
19,07:30AM,"Thermo Fisher Scientific Announces Results of Offer to Acquire QIAGEN, Lapse of Offer and Termination of Acquisition Agreement PR Newswire"
20,Aug-12-20 04:59PM,Thermo Fisher Scientific Supports COVID-19 Testing at Historically Black Colleges and Universities Seeking to Provide a Safe Return to Campus PR Newswire
21,04:47PM,"'Halftime Report' Traders Share Their Thoughts On Monster Beverage, Thermo Fisher And More Benzinga"
22,08:41AM,AMN Healthcare (AMN) Loses 3.3% Despite Q2 Earnings Beat Zacks
23,07:10AM,Glaukos (GKOS) Loses 17.1% Despite Q2 Earnings & Revenues Beat Zacks
24,Aug-11-20 10:14AM,Thermo Fisher to update on Qiagen tender offer on Thursday Reuters
25,09:23AM,Thermo Fisher Scientific Provides Process Overview for the Announcement of Final Offer Results PR Newswire
26,08:10AM,PRA Health (PRAH) Q2 Earnings and Revenues Beat Estimates Zacks
27,Aug-10-20 06:16PM,Andreas Halvorsen's 5 Biggest Trades of the 2nd Quarter GuruFocus.com
28,08:17AM,Surmodics (SRDX) Q3 Earnings and Revenues Beat Estimates Zacks
29,05:43AM,Avanos Medical (AVNS) Q2 Earnings and Revenues Top Estimates Zacks
30,03:18AM,Its Lonely Trying to Kill This Covid-19 Diagnostics Deal Bloomberg
31,Aug-07-20 08:15PM,"Qiagen, Pandion See Activist Actions Barrons.com"
32,12:24PM,5 Health Care Companies Outperforming the Market GuruFocus.com
33,11:30AM,Is Thermo Fisher Scientific (TMO) Stock Outpacing Its Medical Peers This Year? Zacks
34,07:20AM,"Nevro (NVRO) Q2 Loss Narrower than Expected, Revenues Beat Zacks"
35,Aug-06-20 04:21PM,"Becton Dickinson Earnings Top, But BDX Stock Falls On Weak Sales Investor's Business Daily"
36,11:40AM,TMO vs. EW: Which Stock Is the Better Value Option? Zacks
37,09:27AM,Varian (VAR) Earnings and Revenues Surpass Estimates in Q3 Zacks
38,09:26AM,"LHC Group (LHCG) Q2 Earnings Beat Estimates, Revenues Miss Zacks"
39,09:26AM,ABIOMED (ABMD) Earnings and Revenues Beat Estimates in Q1 Zacks
40,09:24AM,"Cardinal Health (CAH) Q4 Earnings Top Estimates, Revenues Lag Zacks"
41,09:22AM,Becton Dickinson (BDX) Earnings Surpass Estimates in Q3 Zacks
42,09:21AM,DENTSPLY SIRONA (XRAY) Q2 Earnings & Revenues Miss Estimates Zacks
43,Aug-05-20 09:47AM,Fresenius Medical (FMS) Q2 Earnings & Revenues Top Estimates Zacks
44,09:37AM,AmerisourceBergen (ABC) Q3 Earnings & Revenues Top Estimates Zacks
45,09:08AM,"Luminex (LMNX) Q2 Earnings Beat Estimates, Revenues Miss Zacks"
46,08:00AM,Thermo Fisher Scientific's COVID-19 Response Continues to Expand with New High-Throughput Automated Testing Solution PR Newswire
47,Aug-04-20 05:53PM,Agilent Technologies At Upper End Of Buy Range With Earnings Due Investor's Business Daily
48,05:39PM,Luminex Scores Relative Strength Rating Upgrade Investor's Business Daily
49,04:12PM,Thermo Fisher Scientific Confirms Offer to Acquire QIAGEN Shares Expires on August 10 PR Newswire
50,12:44PM,3 Charts That Suggest Sin Stocks Are Headed Higher Investopedia
51,08:14AM,Pacific Biosciences (PACB) Posts Lower-Than-Expected Q2 Loss Zacks
52,08:06AM,"Thermo Fisher Increases Its Buyout Price for Qiagen, but Investors Ask for More Motley Fool"
53,Aug-03-20 11:05AM,LabCorp (LH) Banks on Covance Amid Testing Volume Pressure Zacks
54,08:43AM,Allscripts (MDRX) Q2 Earnings and Revenues Beat Estimates Zacks
55,Aug-01-20 07:07AM,"Got $5,000? These 3 Resilient Stocks Will Diversify Your Portfolio Motley Fool"
56,Jul-31-20 12:14PM,"DaVita (DVA) Earnings Beat Estimates in Q2, Revenues Miss Zacks"
57,12:13PM,"Exact Sciences' (EXAS) Q2 Earnings Beat, Margin Declines Zacks"
58,11:43AM,NextGen Healthcare (NXGN) Tops Q1 Earnings & Revenue Estimates Zacks
59,Jul-30-20 10:02AM,"Chemed (CHE) Q2 Earnings Beat Estimates, Margins Decline Zacks"
60,09:20AM,"Hologic (HOLX) Q3 Earnings Surpass Estimates, Margins Rise Zacks"
61,Jul-29-20 07:37AM,Qiagen investor PSquared won't tender shares in Thermo Fisher bid Reuters
62,Jul-27-20 09:14AM,"The Zacks Analyst Blog Highlights: Turning Point Brands, Medifast, Emergent BioSolutions, Thermo Fisher Scientific and Sempra Energy Zacks"
63,08:54AM,"The Zacks Analyst Blog Highlights: Microsoft, Tesla, Thermo Fisher Scientific, ABB and Suncor Energy Zacks"
