,0,1
0,Aug-27-20 01:57AM,Microsoft Brings Back Halo Veteran to Get Delayed Game Back on Track Bloomberg
1,Aug-25-20 12:26PM,A New Nintendo Switch Model Could Be Coming in 2021. What to Know. Barrons.com
2,Aug-24-20 11:30PM,Nintendo Plans Upgraded Switch Console and Major Games for 2021 Bloomberg
3,12:19PM,"Top Research Reports for Apple, Alibaba, Sony & Others Zacks"
4,05:17AM,Nintendo Adds Another $3 Billion as Robinhood Traders Press Play Bloomberg
5,04:29AM,Tencent Nears Deal to Take Gaming Firm Leyou Private Bloomberg
6,Aug-23-20 09:15AM,3 International Companies Whose Products You'll Soon Use Motley Fool
7,Aug-19-20 12:46PM,"GAMCO Investors Trims Sony, American Express GuruFocus.com"
8,10:10AM,Sony Gears Up for Launch of Innovative GNSS Receiver LSIs Zacks
9,04:01AM,Daniel Loeb's Third Point Sells Off All Its US Shares In Sony Benzinga
10,03:01AM,"Nikkei inches up after U.S. tech gains, near 30-year high in dollar terms Reuters"
11,02:30AM,Third Point sells Sony ADRs; still owns large amount of Tokyo stock -source Reuters
12,Aug-18-20 11:25PM,Nikkei edges up after tech-driven rally on Wall Street Reuters
13,Aug-14-20 05:58PM,Mario Gabelli Leans Out 2nd-Quarter Portfolio GuruFocus.com
14,Aug-13-20 06:00AM,TikTok and WeChat Expose Big Techs Lack of Innovation Bloomberg
15,Aug-12-20 04:14PM,AT&T Aims to Sell Crunchyroll for $1.5 Billion Bloomberg
16,Aug-11-20 04:25PM,"Microsoft Delays Halo Infinite, Biggest Game for Xbox Launch Bloomberg"
17,01:16PM,"Here's How Much Investing $1,000 In Sony Stock In 2010 Would Be Worth Today Benzinga"
18,11:46AM,Free time and Fortnite: How coronavirus changed the video game industry forever Yahoo Finance
19,Aug-10-20 10:39PM,Tencents Grip on Music Weakens After NetEase-Universal Deal Bloomberg
20,03:38PM,Nvidia Stock May Get a Lift From Microsoft and Sony Barrons.com
21,Aug-08-20 10:57AM,How Sony Is Fueling the Computer Vision Boom Insider Monkey
22,Aug-07-20 11:30AM,Has Sony (SNE) Outpaced Other Consumer Discretionary Stocks This Year? Zacks
23,Aug-06-20 08:12PM,Nintendo Profit Smashes Analyst Estimates With Animal Crossing Bloomberg
24,11:11AM,Fortnite Maker Epic Games Becomes 5th Most Valuable U.S. Startup Bloomberg
25,09:48AM,"""Fortnite"" developer Epic Games raises $1.78 billion Reuters"
26,Aug-05-20 10:40PM,Nintendo Is Said to Hike Switch Target Again to Sate Gaming Boom Bloomberg
27,09:50AM,A Look Into Sony's Price Over Earnings Benzinga
28,09:33AM,"Company News for Aug 5, 2020 Zacks"
29,02:29AM,"Japan stocks fall from one-week high on dour earnings, firmer yen Reuters"
30,Aug-04-20 11:03PM,Japan stocks fall from one-week high on concerns over corporate earnings Reuters
31,05:01PM,Sony (SNE) Q1 2020 Earnings Call Transcript Motley Fool
32,01:09PM,"Sony's (SNE) Q1 Earnings Beat Estimates, Revenues Rise Y/Y Zacks"
33,12:14PM,What did you do during lockdown? I was playing 'Grand Theft Auto' Reuters
34,04:08AM,It's Game On as Sony Holds Out for a PS5 Christmas Bloomberg
35,03:09AM,"Nikkei ends at one-week high on Wall Street rally, weaker yen Reuters"
36,02:22AM,Sony posts milder-than-expected first-quarter operating profit fall on gaming demand Reuters
37,02:16AM,"Sony first-quarter operating profit drops 1.1%, but beats analyst estimates Reuters"
38,Aug-03-20 11:54PM,"Japanese shares track Wall Street higher, weaker yen supports exporters Reuters"
39,06:30PM,Matthews Japan Fund's Top 5 Trades in the 2nd Quarter GuruFocus.com
40,11:50AM,Sony (SNE) to Report Q1 Earnings: What's in the Offing? Zacks
41,08:42AM,Why Earnings Season Could Be Great for Sony (SNE) Zacks
42,06:00AM,Snap Lands Deals With Top Music Companies to Add Songs to Videos Bloomberg
43,Aug-02-20 10:43AM,"Analyst: VOD deal between NBCUniversal, AMC will likely 'dampen movie attendance,' hurt industry Yahoo Finance"
44,Jul-31-20 02:54PM,"What groundbreaking AMC, NBCUniversal deal means for struggling theater industry Yahoo Finance Video"
45,08:43AM,Microsoft Investors Shouldnt Expect Too Much From Xbox Series X InvestorPlace
46,03:02AM,REFILE-Facebook to get rights to show music videos -Bloomberg News Reuters
47,Jul-30-20 11:08PM,Facebook Is Set to Finally Get the Rights to Show Music Videos Bloomberg
48,07:37PM,10 Biggest Technology Companies Investopedia
49,Jul-28-20 10:00AM,Sony Announces World's First CFexpress Type A Memory Card with High-speed Performance and Tough Durability PR Newswire
50,08:12AM,Eros International Goes Over the Top in Streaming Video With Latest TV Partnership Motley Fool
51,Jul-26-20 05:08PM,Why You Should Keep An Eye On This Little-Known Playstation 5 Component Maker Benzinga
52,Jul-25-20 10:47AM,Comic book icon McFarlane: 'Geek is alive and well' in collectibles despite coronavirus Yahoo Finance
53,Jul-24-20 04:56PM,Top back-to-school gear: Tech Support Yahoo Finance
54,Jul-23-20 01:54PM,Microsoft Readies Games for Next Xbox Led By Latest Halo Shooter Bloomberg
55,Jul-22-20 01:00PM,Apple Defends App Store Revenue Take Ahead of Antitrust Hearing Bloomberg
56,Jul-20-20 12:49PM,"Warner Bros. delays 'Tenet' movie release indefinitely, Variety reports Reuters"
57,04:04AM,JGBs fall ahead of 20-year debt auction Reuters
58,Jul-16-20 10:48AM,New Videogame Consoles Are Coming at the Perfect Time Barrons.com
59,Jul-15-20 07:46AM,Sony Invests $250 Million in the Maker of Fortnite Motley Fool
60,06:16AM,Sony Increasing Production On PlayStation 5 By 50%- Report SmarterAnalyst
61,12:30AM,Sony Boosting Output of PlayStation 5 to Meet Surge in Demand Bloomberg
62,Jul-14-20 11:04AM,'Ghost of Tsushima' likely last exclusive to hit PS4 Yahoo Finance Video
63,10:39AM,Ghost of Tsushima review: The PlayStation 4s big send-off Yahoo Finance
64,02:33AM,"Nikkei drops on profit-taking, semiconductor stocks slump Reuters"
65,Jul-13-20 11:59PM,"Tokyo shares dip on profit-taking, semiconductor stocks drop sharply Reuters"
66,Jul-12-20 07:39PM,Did Hedge Funds Make The Right Call On Sony Corporation (SNE)? Insider Monkey
67,07:45AM,3 Stay-at-Home Tech Stocks to Buy Right Now Motley Fool
68,Jul-10-20 03:49PM,Activision-Blizzard Stock Is Blasting Toward All-Time Highs InvestorPlace
69,01:34PM,Word on the Street: Sony buys $250M stake in Fortnite creator Epic Games Yahoo Finance Video
70,11:27AM,Sony (SNE) Ups the Game With Stake Purchase in Epic Games Zacks
71,06:00AM,Tencent in Talks to Acquire Hong Kong-Listed Gaming Firm Leyou Bloomberg
72,03:08AM,"Nikkei hits 1-week low on COVID-19 concerns, corporate earnings Reuters"
73,02:23AM,Sony Invests $250M For Minority Stake In Fortnite Maker Epic Games SmarterAnalyst
74,01:58AM,Sony Acquires Minority Stake In Fortnite Maker Epic Games With $250M Investment Benzinga
75,12:04AM,'Fortnite' creator Epic Games gets $250 million investment from Sony Reuters
76,Jul-09-20 11:37PM,Sony invests $250m in Fortnites Epic Games Financial Times
77,11:36PM,"Japanese shares fall on virus concerns, corporate earnings Reuters"
78,10:15PM,Sony Invests $250 Million in Unreal Engine Maker Epic Games Bloomberg
79,08:46PM,SoftBank-Backed Coupang Buys Hooq Assets to Take on Netflix Bloomberg
80,04:25PM,"Sony Invests In Epic Games, Creators of Fortnite Motley Fool"
81,03:57PM,Sony Buys $250 Million Stake in Fortnite Creator Epic Games TheStreet.com
82,02:43PM,'Fortnite' creator Epic Games gets $250 million investment from Sony Reuters
83,02:38PM,Sony Invests $250 Million in Fortnite Maker Epic Games for 1.4% Stake Variety
84,02:38PM,Sony invests $250 million in 'Fortnite' publisher Epic Games MarketWatch
85,02:36PM,'Fortnite' creator Epic Games gets $250 mln investment from Sony Reuters
86,03:35AM,Japanese shares rebound but spike in COVID-19 cases caps gains Reuters
87,Jul-08-20 05:00PM,Power Pioneer Invents New Battery Thats 90% Cheaper Than Lithium-Ion Bloomberg
88,Jul-06-20 11:29AM,Why Sony (SNE) Is A Compelling Investment Case Insider Monkey
89,Jul-03-20 03:55AM,Uber Is Coming to Tokyo After Six Years in Japan Bloomberg
90,Jul-02-20 03:00PM,Micron Reports Blockbuster Earnings. Should You Buy MU Stock? InvestorPlace
91,09:00AM,Overpaying for TV Again? Get Used to It. Bloomberg
92,05:20AM,Sony Weighs Bid for Hong Kong-Listed Gaming Firm Leyou Bloomberg
