,0,1
0,Aug-27-20 08:55AM,State of Indiana Chooses UnitedHealthcare to Serve its Hoosier Care Connect Program Beneficiaries Business Wire
1,Aug-26-20 05:45PM,UnitedHealth Group (UNH) Stock Sinks As Market Gains: What You Should Know Zacks
2,04:25PM,"UnitedHealth Group Inc. stock falls Wednesday, underperforms market MarketWatch"
3,12:40PM,UnitedHealth Group Inc. (UNH): Hedge Funds Are Cashing Out Insider Monkey
4,11:02AM,"Walgreens Boots, UnitedHealth share losses contribute to Dow's nearly 75-point fall MarketWatch"
5,09:34AM,Stock market opens tepidly higher Wednesday but enough to notch intraday record highs for S&P 500 and Nasdaq MarketWatch
6,Aug-25-20 04:25PM,"UnitedHealth Group Inc. stock rises Tuesday, outperforms market MarketWatch"
7,Aug-24-20 04:25PM,UnitedHealth Group Inc. stock outperforms competitors despite losses on the day MarketWatch
8,Aug-21-20 06:22PM,Glenn Greenberg's Top 2nd-Quarter Trades GuruFocus.com
9,04:25PM,"UnitedHealth Group Inc. stock rises Friday, still underperforms market MarketWatch"
10,Aug-20-20 04:25PM,"UnitedHealth Group Inc. stock falls Thursday, underperforms market MarketWatch"
11,09:00AM,Morehouse School of Medicine and UnitedHealth Group Collaborate to Help Expand COVID-19 Research and Health Equity for Individuals with Sickle Cell Business Wire
12,Aug-19-20 04:25PM,UnitedHealth Group Inc. stock underperforms Wednesday when compared to competitors MarketWatch
13,10:07AM,BGL Announces the Simultaneous Recapitalizations of Grandview Surgery Center and North East Surgery Center PR Newswire
14,Aug-18-20 04:25PM,"UnitedHealth Group Inc. stock falls Tuesday, underperforms market MarketWatch"
15,03:25PM,"Chevron, JPMorgan Chase share losses contribute to Dow's nearly 75-point fall MarketWatch"
16,01:51PM,"Chevron, JPMorgan Chase share losses lead the way, but Dow flat MarketWatch"
17,10:46AM,5 Companies Reach 52-Week Highs GuruFocus.com
18,09:56AM,Healthcare stocks are where youll see continued growth: strategist Yahoo Finance Video
19,09:00AM,United Health Foundation Pledges $1.7 Million to Health Care Center for the Homeless to Expand Access to Primary Care in Florida Business Wire
20,Aug-17-20 04:25PM,UnitedHealth Group Inc. stock underperforms Monday when compared to competitors MarketWatch
21,03:51PM,Montgomery (County of) OH -- Moody's assigns Baa1 to Premier Health Partners' (OH) Ser. 2020; outlook negative Moody's
22,Aug-14-20 04:25PM,"UnitedHealth Group Inc. stock rises Friday, outperforms market MarketWatch"
23,11:30AM,UnitedHealth (UNH) Up 4.7% Since Last Earnings Report: Can It Continue? Zacks
24,Aug-13-20 04:25PM,"UnitedHealth Group Inc. stock falls Thursday, underperforms market MarketWatch"
25,02:30PM,Nasdaq Commands Gains; Why These Dow Stocks Are Near A Buy Point Investor's Business Daily
26,10:54AM,Morning Bell With Jim Cramer: Trading the Tesla Stock Split TheStreet.com
27,09:00AM,"United Health Foundation Donates $750,000 to Support Maternal Health Needs of Georgia Amid COVID-19 Pandemic Business Wire"
28,09:00AM,"United Health Foundation Donates $1,250,000 to ECU to Support Maternal Health Needs of North Carolina Amid COVID-19 Pandemic Business Wire"
29,Aug-12-20 04:25PM,"UnitedHealth Group Inc. stock rises Wednesday, outperforms market MarketWatch"
30,03:45PM,Dow Jones Rallies 308 Points; Why This Wall Street Expert Sees The S&P 500 At 3800 In 2021 Investor's Business Daily
31,10:56AM,"Dow up 289 points on gains for shares of Microsoft, Apple Inc. MarketWatch"
32,09:48AM,"Dow Jones Today, Stocks Climb After Moderna Vaccine Deal; AMD Leads Chip Bounce; Tesla Announces Stock Split Investor's Business Daily"
33,Aug-11-20 04:25PM,"UnitedHealth Group Inc. stock falls Tuesday, underperforms market MarketWatch"
34,04:25PM,Ken Fisher's Top 4 Buys in the 2nd Quarter GuruFocus.com
35,09:00AM,"Physicians Provide Higher Quality Care Under Set Monthly Payments Instead of Being Paid Per Service, UnitedHealth Group Study Shows Business Wire"
36,Aug-10-20 04:25PM,UnitedHealth Group Inc. stock outperforms market on strong trading day MarketWatch
37,11:01AM,"The Zacks Analyst Blog Highlights: Home Depot, Walmart, UnitedHealth, McDonald's and Johnson & Johnson Zacks"
38,08:12AM,Dow Jones Futures: Trump Extends Unemployment Benefits; Four Stock Market Rally Risks Investor's Business Daily
39,Aug-08-20 05:12PM,"Dow Jones Futures: Stock Market Rally Leadership Expands, But Here Are Four Risks To Watch Investor's Business Daily"
40,Aug-07-20 04:25PM,UnitedHealth Group Inc. stock outperforms market on strong trading day MarketWatch
41,12:24PM,5 Health Care Companies Outperforming the Market GuruFocus.com
42,Aug-06-20 04:25PM,"UnitedHealth Group Inc. stock rises Thursday, still underperforms market MarketWatch"
43,02:24PM,Return On Capital Employed Overview: UnitedHealth Group Benzinga
44,07:27AM,Cardinal's stock rises 2%; company had a $130 million impact as a result of the pandemic in the quarter MarketWatch
45,Aug-05-20 04:25PM,"UnitedHealth Group Inc. stock rises Wednesday, outperforms market MarketWatch"
46,04:24PM,"Nasdaq Hits 11,000, But These Indexes Outperformed It Investor's Business Daily"
47,09:57AM,"The Zacks Analyst Blog Highlights: UnitedHealth, Comcast, Exxon Mobil, Microsoft, Accenture and Charter Communications Zacks"
48,06:50AM,UnitedHealth Group Board Authorizes Payment of Quarterly Dividend Business Wire
49,06:44AM,Health insurer Humana Q2 profit nearly doubles Reuters
50,Aug-04-20 04:25PM,"UnitedHealth Group Inc. stock rises Tuesday, still underperforms market MarketWatch"
51,11:13AM,"Top Analyst Reports for UnitedHealth, Comcast & Exxon Mobil Zacks"
52,11:00AM,Optum Commits $1 Million in Pro Bono Services to Address Local Health and Wellness Needs in Partnership with John Muir Health Business Wire
53,Aug-03-20 04:25PM,"UnitedHealth Group Inc. stock rises Monday, still underperforms market MarketWatch"
54,Jul-31-20 04:25PM,"UnitedHealth Group Inc. stock falls Friday, underperforms market MarketWatch"
55,Jul-30-20 07:46PM,10 Biggest Health Care Companies Investopedia
56,04:25PM,"UnitedHealth Group Inc. stock falls Thursday, underperforms market MarketWatch"
57,02:00PM,UnitedHealth Group Publishes Inaugural Sustainability Report Business Wire
58,06:30AM,How a Biden Win Would Affect Different Market Sectorsand Stock Picks for Both Election Outcomes Barrons.com
59,06:00AM,Cigna profit jumps nearly 25% as people delay surgeries during pandemic Reuters
60,Jul-29-20 03:34PM,"Dow's 212-point jump highlighted by gains for UnitedHealth, Dow Inc. stocks MarketWatch"
61,02:32PM,"Dow's 137-point climb led by gains in shares of UnitedHealth, Dow Inc. MarketWatch"
62,11:44AM,5 Guru Stocks Predicted to Expand Earnings GuruFocus.com
63,11:41AM,Centene CEO Says Covid-19 Vaccine Profits Should Be Capped for Companies That Took Government Aid Barrons.com
64,10:09AM,"Dow climbs 69 points on gains for shares of UnitedHealth, Apple Inc. MarketWatch"
65,Jul-28-20 06:41AM,3 Top Stocks That Are Cash Cows Motley Fool
66,Jul-27-20 06:33PM,5 Undervalued Stocks With 5-Star Predictability GuruFocus.com
67,03:18PM,The Top 5 Trades of the Eaton Vance Worldwide Health Sciences Fund GuruFocus.com
68,11:03AM,Heres the stock sector you want to be in if the Democrats sweep the November elections MarketWatch
