,0,1
0,Oct-09-20 05:03PM,Twitter makes moves to stop spread of election misinformation MarketWatch
1,04:25PM,"Facebook Inc. Cl A stock rises Friday, still underperforms market MarketWatch"
2,03:21PM,Stocks extend gains with stimulus prospects in focus Yahoo Finance Video
3,02:51PM,Facebook and Instagram will pin vote-by-mail explainers to top of feeds TechCrunch
4,01:59PM,Factbox: Big Tech's market dominance spurs numerous U.S. antitrust probes Reuters
5,01:49PM,Twitter Seeks to Limit Spread of Misinformation Before Vote Bloomberg
6,01:11PM,Google Plans to Make YouTube a Major Shopping Destination Bloomberg
7,12:09PM,"Facebook (FB) Has Risen 47% in Last One Year, Outperforms Market Insider Monkey"
8,05:00AM,American-Made Disinformation Strains Social Medias Safeguards Bloomberg
9,01:00AM,Pandemic Exposes Europes Creaking Internet for All to See Bloomberg
10,Oct-08-20 09:24PM,Facebook Approached FBI About Michigan Militia Six Months Ago Bloomberg
11,06:30PM,Militia tied to plot to kidnap Gov. Whitmer was removed from Facebook in boogaloo purge TechCrunch
12,06:01PM,"Facebook's Political Ad Policy Is Insufficient, Says Arjuna's Lamb Bloomberg"
13,05:33PM,Facebook to Launch #BuyBlack Friday Weekly Events WWD
14,04:25PM,Facebook Inc. Cl A stock outperforms competitors on strong trading day MarketWatch
15,02:14PM,Shark Tank star Daymond John: How to create a successful business during COVID-19 Yahoo Finance
16,01:12PM,Facebook places temporary ban on political ads after Election Day Yahoo Finance Video
17,01:01PM,Facebook Pulls Fake Accounts Trying to Promote Trump Over Biden Bloomberg
18,12:34PM,Shark Tank star Daymond John: We should be building businesses Yahoo Finance
19,12:08PM,"Facebook, Twitter dismantle global array of disinformation networks Reuters"
20,11:05AM,"Slack CEO on Frontiers conference, innovations for the platform, Microsoft competition Yahoo Finance Video"
21,10:44AM,"Clearwater Analytics Prepares for an IPO as It Looks to Sell a Minority Stake, Sources Say Barrons.com"
22,09:19AM,Facebook a net bad for society: Kurt Andersen Yahoo Finance
23,09:00AM,Influencers with Andy Serwer: Kurt Andersen Yahoo Finance Video
24,07:30AM,"[video]5 Thoughts on the House's Antitrust Report on Google, Facebook, Apple and Amazon TheStreet.com"
25,Oct-07-20 08:50PM,U.S. Seizes 92 Websites Used by Iran to Spread Disinformation Bloomberg
26,07:27PM,"Facebook Will Ban Political Ads After Polls Close, Plans to Delete Militarized Calls for Poll-Watching Variety"
27,07:01PM,Jim Cramer: Probe Into Big Tech 'Monopoly' Is Just a Political Game TheStreet.com
28,06:05PM,Facebook to halt political ads in U.S. indefinitely after polls close Nov. 3 MarketWatch
29,05:46PM,Why It Might Be Time to Meld Your Investing Strategy With Your Disaster Preparedness Plan Barrons.com
30,05:41PM,Facebook will remove posts with 'militarized' calls for U.S. election poll watchers Reuters
