,0,1
0,Oct-08-20 10:30AM,"S&P Dow Jones Indices Reports $2.3 Billion Decrease in U.S. Indicated Dividend Payments for Q3 2020, up from Q2's $42.5 billion decline PR Newswire"
1,Oct-05-20 07:29PM,Vontier Set to Join S&P 500 PR Newswire
2,10:52AM,S&P Global (SPGI) Stock Rises 32.9% Year to Date: Here's Why Zacks
3,10:00AM,"S&P Global Ratings Awarded ""Best Rating Agency of the Year"" at the GlobalCapital Bond Awards 2020 PR Newswire"
4,04:00AM,World's First High-Frequency Decentralized Energy Market Helps Drive Port of Rotterdam's Energy Transition PR Newswire
5,Oct-01-20 07:06PM,Pool Set to Join S&P 500; Neogen & Simpson Manufacturing to Join S&P MidCap 400; Others to Join S&P SmallCap 600 PR Newswire
6,02:30PM,"S&P Global Schedules Third Quarter 2020 Earnings Announcement and Conference Call for Tuesday, October 27, 2020 PR Newswire"
7,Sep-30-20 06:54PM,SailPoint Technologies Holdings Set to Join S&P MidCap 400; Sally Beauty Holdings to Join S&P SmallCap 600 PR Newswire
8,09:19AM,S&P Global Declares Quarterly Dividend PR Newswire
9,Sep-29-20 10:14AM,S&P CoreLogic Case-Shiller Index Reports 4.8% Annual Home Price Gain In July PR Newswire
10,08:00AM,S&P Global Is One Dividend Aristocrat That Can Survive a Second Market Crash Motley Fool
11,02:48AM,Petronet Selects Platts West India Marker for November LNG cargo tender PR Newswire
12,Sep-25-20 05:47PM,Chesapeake Utilities to Join S&P SmallCap 600 PR Newswire
13,12:45PM,3 Reasons Growth Investors Will Love S&P Global (SPGI) Zacks
14,08:32AM,Finalists Announced for 22nd Annual 2020 S&P Global Platts Global Energy Awards PR Newswire
15,Sep-24-20 01:30AM,Active Managers Are Suffering a Perilous Pandemic Bloomberg
16,Sep-21-20 07:50PM,"S&P Index Manager Charged With $900,000 Insider-Trading Scheme Bloomberg"
17,06:41PM,Fulgent Genetics Set to Join S&P SmallCap 600 PR Newswire
18,09:38AM,S&P Global Platts Launches First Sustainable Aviation Fuel Price Assessments in Americas PR Newswire
19,06:10AM,Trucost Climate Analytics and Environmental Data now Integrated into the S&P Global Market Intelligence Platform PR Newswire
20,Sep-16-20 09:00AM,S&P Global Market Intelligence Expands SME Data Coverage with 10 million European Private Companies PR Newswire
21,Sep-15-20 08:00PM,The Argus Dividend Growth Portfolio Argus Research
22,10:19AM,S&P/Experian Consumer Credit Default Indices Show Composite Rate Steady In August 2020 PR Newswire
23,10:15AM,S&P 500 Buybacks Decline 55.4% to $88.7 Billion; Significant Reductions Expected to continue in Q3 2020 PR Newswire
24,Sep-14-20 02:47AM,Cairn India selects Platts Dated Brent for Oil Pricing PR Newswire
25,Sep-10-20 11:30AM,"S&P Global to Present at the virtual Barclays Global Financial Services Conference on September 14, 2020 PR Newswire"
26,Sep-09-20 12:45PM,3 Reasons Why Growth Investors Shouldn't Overlook S&P Global (SPGI) Zacks
27,09:15AM,S&P Global Market Intelligence and Snowflake Collaborate to Enable Seamless Delivery of Financial and Alternative Data PR Newswire
28,Sep-08-20 04:05PM,"Kohl's Ejected From the S&P 500 Index, Rolls Out New Loyalty Program Motley Fool"
29,Sep-07-20 08:00PM,Weekly Stock List Argus Research
30,10:43AM,S&P Global (SPGI) Stock Rises 26.4% Year to Date: Here's Why Zacks
31,09:29AM,Why Should You Hold S&P Global (SPGI) in Your Portfolio? Zacks
32,Sep-03-20 04:55PM,"For Tesla Stock, Friday Could Be the Day the S&P 500 Decides Barrons.com -6.53%"
33,09:30AM,S&P Global Market Intelligence Becomes Exclusive Provider of Citigroup Aftermarket Research PR Newswire
34,Sep-01-20 06:47PM,Comparing the 2 Big Ratings Agencies: Moody's and S&P Global GuruFocus.com
35,06:00AM,How S&P Global Benefited from the COVID-19 Crash Motley Fool
